,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,287,176,200,183,,,,,,,img,1.0,
1,1,176,112,156,42,,,,,,,a,,1.0
2,1,442,112,156,42,,,,,,,a,,1.0
3,1,122,177,156,42,,,,,,,a,,1.0
4,1,496,177,156,42,,,,,,,a,,1.0
5,1,111,242,156,42,,,,,,,a,,1.0
6,1,507,242,156,42,,,,,,,a,,1.0
7,1,122,307,156,42,,,,,,,a,,1.0
8,1,496,307,156,42,,,,,,,a,,1.0
9,1,176,372,156,42,,,,,,,a,,1.0
10,1,442,372,156,42,,,,,,,a,,1.0
11,1,93,599,47,17,,,,,,,a,,1.0
12,1,93,621,41,17,,,,,,,a,,1.0
13,1,93,643,44,17,,,,,,,a,,1.0
14,1,93,665,46,17,,,,,,,a,,1.0
15,1,243,599,42,17,,,,,,,a,,1.0
16,1,243,621,66,17,,,,,,,a,,1.0
17,1,243,643,39,17,,,,,,,a,,1.0
18,1,243,665,33,17,,,,,,,a,,1.0
19,1,394,599,58,17,,,,,,,a,,1.0
20,1,394,621,47,17,,,,,,,a,,1.0
21,1,394,643,134,17,,,,,,,a,,1.0
22,1,394,665,46,17,,,,,,,a,,1.0
23,1,544,599,58,17,,,,,,,a,,1.0
24,1,544,621,47,17,,,,,,,a,,1.0
25,1,544,643,26,17,,,,,,,a,,1.0
26,1,93,728,36,17,,,,,,,a,,1.0
27,1,93,750,79,17,,,,,,,a,,1.0
28,1,93,772,61,17,,,,,,,a,,1.0
29,1,93,794,132,17,,,,,,,a,,1.0
30,1,93,816,83,39,,,,,,,a,,1.0
31,1,93,860,35,17,,,,,,,a,,1.0
32,1,93,882,42,17,,,,,,,a,,1.0
33,1,93,904,35,17,,,,,,,a,,1.0
34,1,93,926,26,17,,,,,,,a,,1.0
35,1,93,948,52,17,,,,,,,a,,1.0
36,1,93,970,57,17,,,,,,,a,,1.0
37,1,93,992,44,17,,,,,,,a,,1.0
38,1,243,728,33,17,,,,,,,a,,1.0
39,1,243,750,41,17,,,,,,,a,,1.0
40,1,243,772,52,17,,,,,,,a,,1.0
41,1,243,794,27,17,,,,,,,a,,1.0
42,1,243,816,46,17,,,,,,,a,,1.0
43,1,243,838,99,17,,,,,,,a,,1.0
44,1,243,860,36,17,,,,,,,a,,1.0
45,1,243,882,67,17,,,,,,,a,,1.0
46,1,243,904,34,17,,,,,,,a,,1.0
47,1,243,926,45,17,,,,,,,a,,1.0
48,1,243,948,43,17,,,,,,,a,,1.0
49,1,243,970,86,17,,,,,,,a,,1.0
50,1,243,992,123,17,,,,,,,a,,1.0
51,1,435,728,43,17,,,,,,,a,,1.0
52,1,394,750,48,17,,,,,,,a,,1.0
53,1,394,772,53,17,,,,,,,a,,1.0
54,1,394,794,120,17,,,,,,,a,,1.0
55,1,394,816,120,39,,,,,,,a,,1.0
56,1,394,860,47,17,,,,,,,a,,1.0
57,1,394,882,51,17,,,,,,,a,,1.0
58,1,394,904,83,17,,,,,,,a,,1.0
59,1,394,926,61,17,,,,,,,a,,1.0
60,1,394,948,67,17,,,,,,,a,,1.0
61,1,394,970,90,17,,,,,,,a,,1.0
62,1,544,728,96,39,,,,,,,a,,1.0
63,1,544,772,36,17,,,,,,,a,,1.0
64,1,544,794,39,17,,,,,,,a,,1.0
65,1,544,816,54,17,,,,,,,a,,1.0
66,1,544,838,38,17,,,,,,,a,,1.0
67,1,544,860,36,17,,,,,,,a,,1.0
68,1,544,882,65,17,,,,,,,a,,1.0
69,1,544,904,21,17,,,,,,,a,,1.0
70,1,544,926,46,17,,,,,,,a,,1.0
71,1,544,948,39,17,,,,,,,a,,1.0
72,1,93,1055,53,17,,,,,,,a,,1.0
73,1,93,1077,73,17,,,,,,,a,,1.0
74,1,93,1099,35,17,,,,,,,a,,1.0
75,1,93,1121,54,17,,,,,,,a,,1.0
76,1,93,1143,55,17,,,,,,,a,,1.0
77,1,93,1165,30,17,,,,,,,a,,1.0
78,1,93,1187,102,17,,,,,,,a,,1.0
79,1,93,1209,65,17,,,,,,,a,,1.0
80,1,93,1231,84,39,,,,,,,a,,1.0
81,1,93,1275,95,17,,,,,,,a,,1.0
82,1,93,1297,48,17,,,,,,,a,,1.0
83,1,93,1319,50,17,,,,,,,a,,1.0
84,1,93,1341,61,17,,,,,,,a,,1.0
85,1,93,1363,53,17,,,,,,,a,,1.0
86,1,93,1385,114,17,,,,,,,a,,1.0
87,1,93,1407,49,17,,,,,,,a,,1.0
88,1,93,1429,29,17,,,,,,,a,,1.0
89,1,93,1451,43,17,,,,,,,a,,1.0
90,1,93,1473,48,17,,,,,,,a,,1.0
91,1,93,1495,43,17,,,,,,,a,,1.0
92,1,243,1055,82,17,,,,,,,a,,1.0
93,1,243,1077,19,17,,,,,,,a,,1.0
94,1,243,1099,42,17,,,,,,,a,,1.0
95,1,243,1121,62,17,,,,,,,a,,1.0
96,1,243,1143,71,17,,,,,,,a,,1.0
97,1,243,1165,45,17,,,,,,,a,,1.0
98,1,243,1187,27,17,,,,,,,a,,1.0
99,1,243,1209,37,17,,,,,,,a,,1.0
100,1,243,1231,83,17,,,,,,,a,,1.0
101,1,243,1253,76,17,,,,,,,a,,1.0
102,1,243,1275,84,17,,,,,,,a,,1.0
103,1,243,1297,58,17,,,,,,,a,,1.0
104,1,243,1319,79,17,,,,,,,a,,1.0
105,1,243,1341,46,17,,,,,,,a,,1.0
106,1,243,1363,90,17,,,,,,,a,,1.0
107,1,243,1385,53,17,,,,,,,a,,1.0
108,1,243,1407,55,17,,,,,,,a,,1.0
109,1,243,1429,33,17,,,,,,,a,,1.0
110,1,243,1451,74,17,,,,,,,a,,1.0
111,1,243,1473,54,17,,,,,,,a,,1.0
112,1,243,1495,65,17,,,,,,,a,,1.0
113,1,394,1055,31,17,,,,,,,a,,1.0
114,1,394,1077,80,17,,,,,,,a,,1.0
115,1,394,1099,34,17,,,,,,,a,,1.0
116,1,394,1121,41,17,,,,,,,a,,1.0
117,1,394,1143,92,17,,,,,,,a,,1.0
118,1,394,1165,46,17,,,,,,,a,,1.0
119,1,394,1187,71,17,,,,,,,a,,1.0
120,1,394,1209,56,17,,,,,,,a,,1.0
121,1,394,1231,32,17,,,,,,,a,,1.0
122,1,394,1253,71,17,,,,,,,a,,1.0
