,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,947,166,133,76,,,,,,,img,1.0,
1,1,20,263,382,215,,,,,,,img,1.0,
2,1,20,487,118,56,,,,,,,img,1.0,
3,1,147,487,118,56,,,,,,,img,1.0,
4,1,274,487,118,56,,,,,,,img,1.0,
5,1,402,487,118,56,,,,,,,img,1.0,
6,1,529,487,118,56,,,,,,,img,1.0,
7,1,20,620,155,87,,,,,,,img,1.0,
8,1,20,752,155,87,,,,,,,img,1.0,
9,1,20,871,155,87,,,,,,,img,1.0,
10,1,20,990,155,87,,,,,,,img,1.0,
11,1,20,1122,155,87,,,,,,,img,1.0,
12,1,20,1254,155,155,,,,,,,img,1.0,
13,1,20,1432,155,155,,,,,,,img,1.0,
14,1,326,1611,16,16,,,,,,,img,1.0,
15,1,682,436,43,43,,,,,,,img,1.0,
16,1,768,436,43,43,,,,,,,img,1.0,
17,1,854,436,43,43,,,,,,,img,1.0,
18,1,941,436,43,43,,,,,,,img,1.0,
19,1,684,580,70,70,,,,,,,img,1.0,
20,1,684,665,70,70,,,,,,,img,1.0,
21,1,684,750,70,70,,,,,,,img,1.0,
22,1,31,3,35,15,,,,,,,a,,1.0
23,1,99,3,24,15,,,,,,,a,,1.0
24,1,157,3,32,15,,,,,,,a,,1.0
25,1,223,3,46,15,,,,,,,a,,1.0
26,1,303,3,31,15,,,,,,,a,,1.0
27,1,367,3,48,15,,,,,,,a,,1.0
28,1,449,3,81,15,,,,,,,a,,1.0
29,1,563,3,49,15,,,,,,,a,,1.0
30,1,646,3,50,15,,,,,,,a,,1.0
31,1,729,3,40,15,,,,,,,a,,1.0
32,1,803,3,38,15,,,,,,,a,,1.0
33,1,774,3,180,15,,,,,,,a,,1.0
34,1,967,3,24,15,,,,,,,a,,1.0
35,1,15,44,190,45,,,,,,,a,,1.0
36,1,767,55,82,27,,,,,,,a,,1.0
37,1,889,50,63,39,,,,,,,a,,1.0
38,1,689,116,43,15,,,,,,,a,,1.0
39,1,43,117,35,16,,,,,,,a,,1.0
40,1,116,117,36,16,,,,,,,a,,1.0
41,1,190,117,53,16,,,,,,,a,,1.0
42,1,281,117,36,16,,,,,,,a,,1.0
43,1,355,117,57,16,,,,,,,a,,1.0
44,1,449,117,94,16,,,,,,,a,,1.0
45,1,581,117,55,16,,,,,,,a,,1.0
46,1,673,117,46,16,,,,,,,a,,1.0
47,1,20,166,1060,76,,,,,,,a,,1.0
48,1,20,263,382,215,,,,,,,a,,1.0
49,1,20,487,118,104,,,,,,,a,,1.0
50,1,147,487,118,105,,,,,,,a,,1.0
51,1,274,487,118,104,,,,,,,a,,1.0
52,1,402,487,118,105,,,,,,,a,,1.0
53,1,529,487,118,105,,,,,,,a,,1.0
54,1,20,620,155,87,,,,,,,a,,1.0
55,1,200,643,365,69,,,,,,,a,,1.0
56,1,20,752,155,87,,,,,,,a,,1.0
57,1,200,775,354,45,,,,,,,a,,1.0
58,1,20,871,155,87,,,,,,,a,,1.0
59,1,200,894,365,21,,,,,,,a,,1.0
60,1,20,990,155,87,,,,,,,a,,1.0
61,1,200,1013,342,45,,,,,,,a,,1.0
62,1,20,1122,155,87,,,,,,,a,,1.0
63,1,200,1145,369,69,,,,,,,a,,1.0
64,1,20,1254,155,155,,,,,,,a,,1.0
65,1,200,1277,349,45,,,,,,,a,,1.0
66,1,20,1432,155,155,,,,,,,a,,1.0
67,1,200,1455,385,45,,,,,,,a,,1.0
68,1,684,378,105,15,,,,,,,a,,1.0
69,1,682,413,43,81,,,,,,,a,,1.0
70,1,768,413,43,81,,,,,,,a,,1.0
71,1,854,413,43,81,,,,,,,a,,1.0
72,1,941,413,43,81,,,,,,,a,,1.0
73,1,684,544,107,15,,,,,,,a,,1.0
74,1,684,580,300,70,,,,,,,a,,1.0
75,1,684,665,299,70,,,,,,,a,,1.0
76,1,684,750,300,70,,,,,,,a,,1.0
77,1,719,1123,103,15,,,,,,,a,,1.0
78,1,828,1123,81,15,,,,,,,a,,1.0
79,1,915,1123,28,15,,,,,,,a,,1.0
80,1,690,1145,104,15,,,,,,,a,,1.0
81,1,800,1145,37,15,,,,,,,a,,1.0
82,1,843,1145,96,15,,,,,,,a,,1.0
83,1,945,1145,27,15,,,,,,,a,,1.0
84,1,802,1167,58,15,,,,,,,a,,1.0
85,1,0,44,205,45,,,1.0,,,,h1,,
86,1,313,182,740,24,,,,1.0,,,h2,,
87,1,423,283,204,60,,,,1.0,,,h2,,
88,1,684,378,105,19,,,,1.0,,,h2,,
89,1,684,541,107,19,,,,1.0,,,h2,,
90,1,514,44,90,46,,1.0,,,,,button,,
91,1,793,378,19,17,,1.0,,,,,button,,
92,1,120,44,394,46,,,,,,1.0,input,,
