,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,600,60,400,39,,,,,,,img,1.0,
1,1,1750,99,1500,600,,,,,,,img,1.0,
2,1,-1250,99,1500,600,,,,,,,img,1.0,
3,1,-250,99,1500,600,,,,,,,img,1.0,
4,1,750,99,1500,600,,,,,,,img,1.0,
5,1,46,413,120,81,,,,,,,img,1.0,
6,1,180,418,120,72,,,,,,,img,1.0,
7,1,64,542,85,85,,,,,,,img,1.0,
8,1,197,542,86,85,,,,,,,img,1.0,
9,1,370,406,260,260,,,,,,,img,1.0,
10,1,697,406,260,260,,,,,,,img,1.0,
11,1,40,844,149,200,,,,,,,img,1.0,
12,1,199,844,149,200,,,,,,,img,1.0,
13,1,358,844,244,200,,,,,,,img,1.0,
14,1,635,844,99,200,,,,,,,img,1.0,
15,1,786,844,107,200,,,,,,,img,1.0,
16,1,932,844,126,200,,,,,,,img,1.0,
17,1,1099,844,101,200,,,,,,,img,1.0,
18,1,1257,844,102,200,,,,,,,img,1.0,
19,1,1412,844,102,200,,,,,,,img,1.0,
20,1,1570,844,96,200,,,,,,,img,1.0,
21,1,1723,844,101,200,,,,,,,img,1.0,
22,1,1861,844,134,200,,,,,,,img,1.0,
23,1,2011,844,178,200,,,,,,,img,1.0,
24,1,2223,844,97,200,,,,,,,img,1.0,
25,1,2378,844,97,200,,,,,,,img,1.0,
26,1,2509,861,270,165,,,,,,,img,1.0,
27,1,2789,844,202,200,,,,,,,img,1.0,
28,1,3030,844,87,200,,,,,,,img,1.0,
29,1,40,1166,270,166,,,,,,,img,1.0,
30,1,320,1149,209,200,,,,,,,img,1.0,
31,1,539,1177,270,143,,,,,,,img,1.0,
32,1,828,1149,128,200,,,,,,,img,1.0,
33,1,974,1149,160,200,,,,,,,img,1.0,
34,1,1154,1149,124,200,,,,,,,img,1.0,
35,1,1299,1149,160,200,,,,,,,img,1.0,
36,1,1483,1149,124,200,,,,,,,img,1.0,
37,1,1628,1195,270,108,,,,,,,img,1.0,
38,1,1918,1149,124,200,,,,,,,img,1.0,
39,1,2063,1159,270,179,,,,,,,img,1.0,
40,1,2353,1149,124,200,,,,,,,img,1.0,
41,1,2498,1149,265,200,,,,,,,img,1.0,
42,1,2773,1173,270,152,,,,,,,img,1.0,
43,1,3053,1149,187,200,,,,,,,img,1.0,
44,1,45,1454,135,200,,,,,,,img,1.0,
45,1,204,1454,128,200,,,,,,,img,1.0,
46,1,352,1454,142,200,,,,,,,img,1.0,
47,1,516,1454,122,200,,,,,,,img,1.0,
48,1,670,1454,126,200,,,,,,,img,1.0,
49,1,824,1454,128,200,,,,,,,img,1.0,
50,1,978,1454,129,200,,,,,,,img,1.0,
51,1,1140,1454,123,200,,,,,,,img,1.0,
52,1,1284,1454,148,200,,,,,,,img,1.0,
53,1,1442,1454,174,200,,,,,,,img,1.0,
54,1,1632,1454,133,200,,,,,,,img,1.0,
55,1,1793,1454,120,200,,,,,,,img,1.0,
56,1,1936,1454,145,200,,,,,,,img,1.0,
57,1,2098,1454,131,200,,,,,,,img,1.0,
58,1,2259,1454,119,200,,,,,,,img,1.0,
59,1,2409,1454,128,200,,,,,,,img,1.0,
60,1,2570,1454,116,200,,,,,,,img,1.0,
61,1,2719,1454,129,200,,,,,,,img,1.0,
62,1,2878,1454,120,200,,,,,,,img,1.0,
63,1,3038,1454,111,200,,,,,,,img,1.0,
64,1,40,1759,261,200,,,,,,,img,1.0,
65,1,311,1759,268,200,,,,,,,img,1.0,
66,1,610,1759,104,200,,,,,,,img,1.0,
67,1,744,1759,212,200,,,,,,,img,1.0,
68,1,970,1759,136,200,,,,,,,img,1.0,
69,1,1133,1759,121,200,,,,,,,img,1.0,
70,1,1276,1759,254,200,,,,,,,img,1.0,
71,1,1544,1759,238,200,,,,,,,img,1.0,
72,1,1792,1759,215,200,,,,,,,img,1.0,
73,1,2017,1788,270,141,,,,,,,img,1.0,
74,1,2297,1759,264,200,,,,,,,img,1.0,
75,1,2571,1759,207,200,,,,,,,img,1.0,
76,1,2788,1759,263,200,,,,,,,img,1.0,
77,1,3061,1759,248,200,,,,,,,img,1.0,
78,1,3319,1760,270,197,,,,,,,img,1.0,
79,1,40,2064,202,200,,,,,,,img,1.0,
80,1,252,2064,241,200,,,,,,,img,1.0,
81,1,503,2104,270,120,,,,,,,img,1.0,
82,1,783,2064,166,200,,,,,,,img,1.0,
83,1,959,2064,253,200,,,,,,,img,1.0,
84,1,1222,2064,217,200,,,,,,,img,1.0,
85,1,1461,2064,121,200,,,,,,,img,1.0,
86,1,1608,2064,174,200,,,,,,,img,1.0,
87,1,1792,2064,194,200,,,,,,,img,1.0,
88,1,1996,2064,208,200,,,,,,,img,1.0,
89,1,2235,2064,102,200,,,,,,,img,1.0,
90,1,2370,2064,143,200,,,,,,,img,1.0,
91,1,2524,2084,160,160,,,,,,,img,1.0,
92,1,2694,2064,187,200,,,,,,,img,1.0,
93,1,90,2369,45,200,,,,,,,img,1.0,
94,1,195,2369,163,200,,,,,,,img,1.0,
95,1,368,2369,231,200,,,,,,,img,1.0,
96,1,609,2369,208,200,,,,,,,img,1.0,
97,1,838,2369,124,200,,,,,,,img,1.0,
98,1,982,2369,217,200,,,,,,,img,1.0,
99,1,1209,2430,270,77,,,,,,,img,1.0,
100,1,1493,2369,180,200,,,,,,,img,1.0,
101,1,1716,2369,78,200,,,,,,,img,1.0,
102,1,1886,2369,49,200,,,,,,,img,1.0,
103,1,2014,2369,102,200,,,,,,,img,1.0,
104,1,2148,2380,270,178,,,,,,,img,1.0,
105,1,2428,2375,270,188,,,,,,,img,1.0,
106,1,2756,2369,49,200,,,,,,,img,1.0,
107,1,2863,2369,174,200,,,,,,,img,1.0,
108,1,3047,2394,270,150,,,,,,,img,1.0,
109,1,3327,2369,260,200,,,,,,,img,1.0,
110,1,3631,2369,77,200,,,,,,,img,1.0,
111,1,3756,2369,136,200,,,,,,,img,1.0,
112,1,54,2674,116,200,,,,,,,img,1.0,
113,1,195,2707,270,134,,,,,,,img,1.0,
114,1,478,2674,139,200,,,,,,,img,1.0,
115,1,630,2674,200,200,,,,,,,img,1.0,
116,1,840,2680,270,188,,,,,,,img,1.0,
117,1,1120,2684,270,180,,,,,,,img,1.0,
118,1,1437,2674,71,200,,,,,,,img,1.0,
119,1,1559,2674,200,200,,,,,,,img,1.0,
120,1,1769,2674,256,200,,,,,,,img,1.0,
121,1,2035,2684,270,180,,,,,,,img,1.0,
122,1,2315,2674,188,200,,,,,,,img,1.0,
123,1,2513,2674,178,200,,,,,,,img,1.0,
124,1,2701,2680,270,188,,,,,,,img,1.0,
125,1,7,10,136,35,,,,,,,a,,1.0
126,1,27,13,97,30,,,,,,,a,,1.0
127,1,657,6,39,44,,,,,,,a,,1.0
128,1,698,6,136,44,,,,,,,a,,1.0
129,1,836,22,62,28,,,,,,,a,,1.0
130,1,900,6,99,44,,,,,,,a,,1.0
131,1,11,53,98,44,,,,,,,a,,1.0
132,1,159,194,70,15,,,,,,,a,,1.0
133,1,600,60,400,39,,,,,,,a,,1.0
134,1,193,69,124,26,,,,,,,a,,1.0
135,1,326,68,122,26,,,,,,,a,,1.0
136,1,450,68,96,26,,,,,,,a,,1.0
137,1,326,107,75,26,,,,,,,a,,1.0
138,1,403,107,37,26,,,,,,,a,,1.0
139,1,444,107,43,26,,,,,,,a,,1.0
140,1,-10000,67,1,1,,,,,,,a,,1.0
141,1,0,-498,153,813,,,,,,,a,,1.0
142,1,0,99,80,250,,,,,,,a,,1.0
143,1,-1250,99,1500,600,,,,,,,a,,1.0
144,1,-250,99,1500,600,,,,,,,a,,1.0
145,1,750,99,1500,600,,,,,,,a,,1.0
146,1,1750,99,1500,600,,,,,,,a,,1.0
147,1,920,99,80,250,,,,,,,a,,1.0
148,1,40,406,132,129,,,,,,,a,,1.0
149,1,174,406,132,129,,,,,,,a,,1.0
150,1,40,537,132,129,,,,,,,a,,1.0
151,1,174,537,132,129,,,,,,,a,,1.0
152,1,40,730,267,19,,,,,,,a,,1.0
153,1,367,406,267,260,,,,,,,a,,1.0
154,1,367,730,267,19,,,,,,,a,,1.0
155,1,693,406,267,260,,,,,,,a,,1.0
156,1,693,730,267,19,,,,,,,a,,1.0
157,1,270,818,62,16,,,,,,,a,,1.0
158,1,40,844,149,200,,,,,,,a,,1.0
159,1,199,844,149,200,,,,,,,a,,1.0
160,1,358,844,244,200,,,,,,,a,,1.0
161,1,635,844,99,200,,,,,,,a,,1.0
162,1,786,844,107,200,,,,,,,a,,1.0
163,1,932,844,126,200,,,,,,,a,,1.0
164,1,1099,844,101,200,,,,,,,a,,1.0
165,1,1257,844,102,200,,,,,,,a,,1.0
166,1,1412,844,102,200,,,,,,,a,,1.0
167,1,1570,844,96,200,,,,,,,a,,1.0
168,1,1723,844,101,200,,,,,,,a,,1.0
169,1,1861,844,134,200,,,,,,,a,,1.0
170,1,2011,844,178,200,,,,,,,a,,1.0
171,1,2223,844,97,200,,,,,,,a,,1.0
172,1,2378,844,97,200,,,,,,,a,,1.0
173,1,2509,861,270,165,,,,,,,a,,1.0
174,1,2789,844,202,200,,,,,,,a,,1.0
175,1,3030,844,87,200,,,,,,,a,,1.0
176,1,40,899,45,100,,,,,,,a,,1.0
177,1,915,899,45,100,,,,,,,a,,1.0
178,1,284,1123,61,16,,,,,,,a,,1.0
179,1,40,1166,270,166,,,,,,,a,,1.0
180,1,320,1149,209,200,,,,,,,a,,1.0
181,1,539,1177,270,143,,,,,,,a,,1.0
182,1,828,1149,128,200,,,,,,,a,,1.0
183,1,974,1149,160,200,,,,,,,a,,1.0
184,1,1154,1149,124,200,,,,,,,a,,1.0
185,1,1299,1149,160,200,,,,,,,a,,1.0
186,1,1483,1149,124,200,,,,,,,a,,1.0
187,1,1628,1195,270,108,,,,,,,a,,1.0
188,1,1918,1149,124,200,,,,,,,a,,1.0
189,1,2063,1159,270,179,,,,,,,a,,1.0
190,1,2353,1149,124,200,,,,,,,a,,1.0
191,1,2498,1149,265,200,,,,,,,a,,1.0
192,1,2773,1173,270,152,,,,,,,a,,1.0
193,1,3053,1149,187,200,,,,,,,a,,1.0
194,1,270,1428,63,16,,,,,,,a,,1.0
195,1,45,1454,135,200,,,,,,,a,,1.0
196,1,204,1454,128,200,,,,,,,a,,1.0
197,1,352,1454,142,200,,,,,,,a,,1.0
198,1,516,1454,122,200,,,,,,,a,,1.0
199,1,670,1454,126,200,,,,,,,a,,1.0
200,1,824,1454,128,200,,,,,,,a,,1.0
201,1,978,1454,129,200,,,,,,,a,,1.0
202,1,1140,1454,123,200,,,,,,,a,,1.0
203,1,1284,1454,148,200,,,,,,,a,,1.0
204,1,1442,1454,174,200,,,,,,,a,,1.0
205,1,1632,1454,133,200,,,,,,,a,,1.0
206,1,1793,1454,120,200,,,,,,,a,,1.0
207,1,1936,1454,145,200,,,,,,,a,,1.0
208,1,2098,1454,131,200,,,,,,,a,,1.0
209,1,2259,1454,119,200,,,,,,,a,,1.0
210,1,2409,1454,128,200,,,,,,,a,,1.0
211,1,2570,1454,116,200,,,,,,,a,,1.0
212,1,2719,1454,129,200,,,,,,,a,,1.0
213,1,2878,1454,120,200,,,,,,,a,,1.0
214,1,3038,1454,111,200,,,,,,,a,,1.0
215,1,348,1733,62,16,,,,,,,a,,1.0
216,1,40,1759,261,200,,,,,,,a,,1.0
217,1,311,1759,268,200,,,,,,,a,,1.0
218,1,610,1759,104,200,,,,,,,a,,1.0
219,1,744,1759,212,200,,,,,,,a,,1.0
220,1,970,1759,136,200,,,,,,,a,,1.0
221,1,1133,1759,121,200,,,,,,,a,,1.0
222,1,1276,1759,254,200,,,,,,,a,,1.0
223,1,1544,1759,238,200,,,,,,,a,,1.0
224,1,1792,1759,215,200,,,,,,,a,,1.0
225,1,2017,1788,270,141,,,,,,,a,,1.0
226,1,2297,1759,264,200,,,,,,,a,,1.0
227,1,2571,1759,207,200,,,,,,,a,,1.0
228,1,2788,1759,263,200,,,,,,,a,,1.0
229,1,3061,1759,248,200,,,,,,,a,,1.0
230,1,3319,1760,270,197,,,,,,,a,,1.0
231,1,325,2038,60,16,,,,,,,a,,1.0
232,1,40,2064,202,200,,,,,,,a,,1.0
233,1,252,2064,241,200,,,,,,,a,,1.0
234,1,503,2104,270,120,,,,,,,a,,1.0
235,1,783,2064,166,200,,,,,,,a,,1.0
236,1,959,2064,253,200,,,,,,,a,,1.0
237,1,1222,2064,217,200,,,,,,,a,,1.0
238,1,1461,2064,121,200,,,,,,,a,,1.0
239,1,1608,2064,174,200,,,,,,,a,,1.0
240,1,1792,2064,194,200,,,,,,,a,,1.0
241,1,1996,2064,208,200,,,,,,,a,,1.0
242,1,2235,2064,102,200,,,,,,,a,,1.0
243,1,2370,2064,143,200,,,,,,,a,,1.0
244,1,2524,2084,160,160,,,,,,,a,,1.0
245,1,2694,2064,187,200,,,,,,,a,,1.0
246,1,251,2343,62,16,,,,,,,a,,1.0
247,1,90,2369,45,200,,,,,,,a,,1.0
248,1,195,2369,163,200,,,,,,,a,,1.0
249,1,368,2369,231,200,,,,,,,a,,1.0
250,1,609,2369,208,200,,,,,,,a,,1.0
251,1,838,2369,124,200,,,,,,,a,,1.0
252,1,982,2369,217,200,,,,,,,a,,1.0
253,1,1209,2430,270,77,,,,,,,a,,1.0
254,1,1493,2369,180,200,,,,,,,a,,1.0
255,1,1716,2369,78,200,,,,,,,a,,1.0
256,1,1886,2369,49,200,,,,,,,a,,1.0
257,1,2014,2369,102,200,,,,,,,a,,1.0
