,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,255,20,66,51,,,,,,,img,1.0,1.0,
2,10,100,29,24,,,,,,,img,1.0,1.0,
3,740,100,24,24,,,,,,,img,1.0,1.0,
4,107,150,16,16,,,,,,,img,1.0,1.0,
5,107,1023,160,90,,,,,,,img,1.0,1.0,
6,307,1023,160,90,,,,,,,img,1.0,1.0,
7,507,1023,160,90,,,,,,,img,1.0,1.0,
8,107,1258,160,90,,,,,,,img,1.0,1.0,
9,307,1258,160,90,,,,,,,img,1.0,1.0,
10,507,1258,160,90,,,,,,,img,1.0,1.0,
11,107,1533,160,90,,,,,,,img,1.0,1.0,
12,307,1533,160,90,,,,,,,img,1.0,1.0,
13,507,1533,160,90,,,,,,,img,1.0,1.0,
14,567,1945,100,60,,,,,,,img,1.0,1.0,
15,552,2025,115,30,,,,,,,img,1.0,1.0,
16,577,2075,90,30,,,,,,,img,1.0,1.0,
17,617,2125,50,30,,,,,,,img,1.0,1.0,
18,-1548,0,776,30,,,,,,,a,,1.0,1.0
19,105,59,150,18,,,,,,,a,,1.0,1.0
20,321,25,91,22,,,,,,,a,,1.0,1.0
21,321,47,50,17,,,,,,,a,,1.0,1.0
22,0,97,88,32,,,,,,,a,,1.0,1.0
23,730,97,44,32,,,,,,,a,,1.0,1.0
24,107,151,16,15,,,,,,,a,,1.0,1.0
25,136,151,65,15,,,,,,,a,,1.0,1.0
26,214,151,315,15,,,,,,,a,,1.0,1.0
27,107,234,466,22,,,,,,,a,,1.0,1.0
28,107,1023,159.984375,95.078125,,,,,,,a,,1.0,1.0
29,307,1023,159.984375,95.078125,,,,,,,a,,1.0,1.0
30,507,1023,159.984375,95.078125,,,,,,,a,,1.0,1.0
31,107,1258,159.984375,95.078125,,,,,,,a,,1.0,1.0
32,307,1258,159.984375,95.078125,,,,,,,a,,1.0,1.0
33,507,1258,159.984375,95.078125,,,,,,,a,,1.0,1.0
34,107,1533,159.984375,95.078125,,,,,,,a,,1.0,1.0
35,307,1533,159.984375,95.078125,,,,,,,a,,1.0,1.0
36,507,1533,159.984375,95.078125,,,,,,,a,,1.0,1.0
37,330,1849,8,18,,,,,,,a,,1.0,1.0
38,356,1849,8,18,,,,,,,a,,1.0,1.0
39,382,1849,36,18,,,,,,,a,,1.0,1.0
40,436,1849,34,18,,,,,,,a,,1.0,1.0
41,191,1891,200,18,,,,,,,a,,1.0,1.0
42,87,1935,124,25,,,,,,,a,,1.0,1.0
43,87,1960,103,25,,,,,,,a,,1.0,1.0
44,87,1985,109,25,,,,,,,a,,1.0,1.0
45,87,2010,88,25,,,,,,,a,,1.0,1.0
46,87,2035,195,25,,,,,,,a,,1.0,1.0
47,567,1991,100,18,,,,,,,a,,1.0,1.0
48,552,2041,115,18,,,,,,,a,,1.0,1.0
49,577,2091,90,18,,,,,,,a,,1.0,1.0
50,617,2141,50,18,,,,,,,a,,1.0,1.0
51,321,26,350,20,,,1,,,,h1,,1.0,
52,107,179,560,44,,,1,,,,h1,,1.0,
53,107,149,124,1,,,,1,,,h2,,1.0,
54,87,233,69,1,,,,1,,,h2,,1.0,
