,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,10,91,29,24,,,,,,,img,1.0,1.0,
2,740,91,24,24,,,,,,,img,1.0,1.0,
3,107,141,16,16,,,,,,,img,1.0,1.0,
4,-638,180,2000,500,,,,,,,img,1.0,1.0,
5,107,1630,260,75,,,,,,,img,1.0,1.0,
6,407,1630,260,75,,,,,,,img,1.0,1.0,
7,107,1745,260,75,,,,,,,img,1.0,1.0,
8,407,1745,260,75,,,,,,,img,1.0,1.0,
9,107,1860,260,75,,,,,,,img,1.0,1.0,
10,407,1860,260,75,,,,,,,img,1.0,1.0,
11,199,2051,75,75,,,,,,,img,1.0,1.0,
12,499,2051,75,75,,,,,,,img,1.0,1.0,
13,199,2414,75,75,,,,,,,img,1.0,1.0,
14,107,3401,560,315,,,,,,,img,1.0,1.0,
15,107,3874,560,315,,,,,,,img,1.0,1.0,
16,107,4346,560,315,,,,,,,img,1.0,1.0,
17,567,4818,100,60,,,,,,,img,1.0,1.0,
18,552,4898,115,30,,,,,,,img,1.0,1.0,
19,577,4948,90,30,,,,,,,img,1.0,1.0,
20,617,4998,50,30,,,,,,,img,1.0,1.0,
21,-1548,0,776,30,,,,,,,a,,1.0,1.0
22,105,59,150,18,,,,,,,a,,1.0,1.0
23,0,88,88,32,,,,,,,a,,1.0,1.0
24,730,88,44,32,,,,,,,a,,1.0,1.0
25,-960,122,774,27,,,,,,,a,,1.0,1.0
26,-960,150,774,27,,,,,,,a,,1.0,1.0
27,-960,178,774,27,,,,,,,a,,1.0,1.0
28,-960,206,774,27,,,,,,,a,,1.0,1.0
29,-960,234,774,27,,,,,,,a,,1.0,1.0
30,-960,262,774,27,,,,,,,a,,1.0,1.0
31,-960,290,774,27,,,,,,,a,,1.0,1.0
32,-960,318,774,27,,,,,,,a,,1.0,1.0
33,-960,346,774,27,,,,,,,a,,1.0,1.0
34,-960,374,774,27,,,,,,,a,,1.0,1.0
35,-960,402,774,27,,,,,,,a,,1.0,1.0
36,-960,430,774,27,,,,,,,a,,1.0,1.0
37,0,122,774,27,,,,,,,a,,1.0,1.0
38,0,150,774,27,,,,,,,a,,1.0,1.0
39,0,178,774,27,,,,,,,a,,1.0,1.0
40,0,206,774,27,,,,,,,a,,1.0,1.0
41,107,142,16,15,,,,,,,a,,1.0,1.0
42,136,142,33,15,,,,,,,a,,1.0,1.0
43,107,1168,560,43,,,,,,,a,,1.0,1.0
44,107,1231,560,43,,,,,,,a,,1.0,1.0
45,107,1691,260,18,,,,,,,a,,1.0,1.0
46,407,1691,260,18,,,,,,,a,,1.0,1.0
47,107,1806,260,18,,,,,,,a,,1.0,1.0
48,407,1806,260,18,,,,,,,a,,1.0,1.0
49,107,1921,260,18,,,,,,,a,,1.0,1.0
50,407,1921,260,18,,,,,,,a,,1.0,1.0
51,133,2299,208,18,,,,,,,a,,1.0,1.0
52,438,2248,198,18,,,,,,,a,,1.0,1.0
53,463,2283,148,38,,,,,,,a,,1.0,1.0
54,154,2642,166,38,,,,,,,a,,1.0,1.0
55,107,2948,260,63,,,,,,,a,,1.0,1.0
56,407,2948,260,86,,,,,,,a,,1.0,1.0
57,107,3074,260,86,,,,,,,a,,1.0,1.0
58,107,3703,560,18,,,,,,,a,,1.0,1.0
59,127,3733,182,19,,,,,,,a,,1.0,1.0
60,107,4175,560,18,,,,,,,a,,1.0,1.0
61,127,4205,148,19,,,,,,,a,,1.0,1.0
62,107,4647,560,18,,,,,,,a,,1.0,1.0
63,127,4677,161,19,,,,,,,a,,1.0,1.0
64,87,4808,124,25,,,,,,,a,,1.0,1.0
65,87,4833,103,25,,,,,,,a,,1.0,1.0
66,87,4858,109,25,,,,,,,a,,1.0,1.0
67,87,4883,88,25,,,,,,,a,,1.0,1.0
68,87,4908,195,25,,,,,,,a,,1.0,1.0
69,567,4864,100,18,,,,,,,a,,1.0,1.0
70,552,4914,115,18,,,,,,,a,,1.0,1.0
71,577,4964,90,18,,,,,,,a,,1.0,1.0
72,617,5014,50,18,,,,,,,a,,1.0,1.0
73,127,518,300,37,,,1,,,,h1,,1.0,
74,107,140,124,1,,,,1,,,h2,,1.0,
75,107,710,560,46,,,,1,,,h2,,1.0,
76,107,1354,560,56,,,,1,,,h2,,1.0,
77,107,2742,560,66,,,,1,,,h2,,1.0,
78,107,3220,560,66,,,,1,,,h2,,1.0,
