,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,107,35,150,53,,,,,,,img,1.0,1.0,
1,559,904,100,60,,,,,,,img,1.0,1.0,
2,424,904,115,30,,,,,,,img,1.0,1.0,
3,546,984,113,38,,,,,,,img,1.0,1.0,
4,476,984,50,30,,,,,,,img,1.0,1.0,
5,87,0,138,25,,,,,,,a,,1.0,1.0
6,225,0,110,25,,,,,,,a,,1.0,1.0
7,107,76,150,15,,,,,,,a,,1.0,1.0
8,107,109,231,25,,,,,,,a,,1.0,1.0
9,30,414,347,304,,,,,,,a,,1.0,1.0
10,397,414,347,304,,,,,,,a,,1.0,1.0
11,453,797,127,15,,,,,,,a,,1.0,1.0
12,20,797,682,28,,,,,,,a,,1.0,1.0
13,87,844,116,25,,,,,,,a,,1.0,1.0
14,203,844,117,25,,,,,,,a,,1.0,1.0
15,320,844,96,25,,,,,,,a,,1.0,1.0
16,416,844,101,25,,,,,,,a,,1.0,1.0
17,516,844,83,25,,,,,,,a,,1.0,1.0
18,87,869,175,25,,,,,,,a,,1.0,1.0
19,559,952,100,15,,,,,,,a,,1.0,1.0
20,424,922,115,15,,,,,,,a,,1.0,1.0
21,546,1010,113,15,,,,,,,a,,1.0,1.0
22,476,1002,50,15,,,,,,,a,,1.0,1.0
23,107,111,231,22,,,1,,,,h1,,1.0,
24,20,184,734,52,,,1,,,,h1,,1.0,
25,31,512,345,18,,,1,,,,h1,,1.0,
26,398,512,345,18,,,1,,,,h1,,1.0,
27,626,327,104,46,,1,,,,,button,,1.0,
28,442,2,191,19,,,,,,1,input,,1.0,
29,637,2,30,20,,,,,,1,input,,1.0,
30,40,327,590,46,,,,,,1,input,,1.0,
