,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,10,91,29,24,,,,,,,img,1.0,1.0,
2,740,91,24,24,,,,,,,img,1.0,1.0,
3,107,141,16,16,,,,,,,img,1.0,1.0,
4,117,234,340,191,,,,,,,img,1.0,1.0,
5,256,1554,44,24,,,,,,,img,1.0,1.0,
6,256,1581,44,24,,,,,,,img,1.0,1.0,
7,256,1698,44,24,,,,,,,img,1.0,1.0,
8,256,1725,44,24,,,,,,,img,1.0,1.0,
9,256,1783,44,24,,,,,,,img,1.0,1.0,
10,256,1810,44,24,,,,,,,img,1.0,1.0,
11,256,1854,44,24,,,,,,,img,1.0,1.0,
12,256,1899,44,24,,,,,,,img,1.0,1.0,
13,507,412,160,40,,,,,,,img,1.0,1.0,
14,518,524,138,92,,,,,,,img,1.0,1.0,
15,567,2038,100,60,,,,,,,img,1.0,1.0,
16,552,2118,115,30,,,,,,,img,1.0,1.0,
17,577,2168,90,30,,,,,,,img,1.0,1.0,
18,617,2218,50,30,,,,,,,img,1.0,1.0,
19,-1548,0,776,30,,,,,,,a,,1.0,1.0
20,105,59,150,18,,,,,,,a,,1.0,1.0
21,0,88,88,32,,,,,,,a,,1.0,1.0
22,730,88,44,32,,,,,,,a,,1.0,1.0
23,0,122,774,27,,,,,,,a,,1.0,1.0
24,0,150,774,27,,,,,,,a,,1.0,1.0
25,0,178,774,27,,,,,,,a,,1.0,1.0
26,0,206,774,27,,,,,,,a,,1.0,1.0
27,0,234,774,27,,,,,,,a,,1.0,1.0
28,0,262,774,27,,,,,,,a,,1.0,1.0
29,0,290,774,27,,,,,,,a,,1.0,1.0
30,0,318,774,27,,,,,,,a,,1.0,1.0
31,0,346,774,27,,,,,,,a,,1.0,1.0
32,0,374,774,27,,,,,,,a,,1.0,1.0
33,0,402,774,27,,,,,,,a,,1.0,1.0
34,0,430,774,27,,,,,,,a,,1.0,1.0
35,0,458,774,27,,,,,,,a,,1.0,1.0
36,107,142,16,15,,,,,,,a,,1.0,1.0
37,136,142,98,15,,,,,,,a,,1.0,1.0
38,247,142,53,15,,,,,,,a,,1.0,1.0
39,194,796,45,18,,,,,,,a,,1.0,1.0
40,107,816,342,38,,,,,,,a,,1.0,1.0
41,135,856,211,18,,,,,,,a,,1.0,1.0
42,107,891,180,18,,,,,,,a,,1.0,1.0
43,107,1235,108,18,,,,,,,a,,1.0,1.0
44,107,1255,233,18,,,,,,,a,,1.0,1.0
45,107,1275,204,18,,,,,,,a,,1.0,1.0
46,122,1380,178,18,,,,,,,a,,1.0,1.0
47,122,1403,209,18,,,,,,,a,,1.0,1.0
48,122,1426,128,18,,,,,,,a,,1.0,1.0
49,122,1449,179,18,,,,,,,a,,1.0,1.0
50,304,1557,142,18,,,,,,,a,,1.0,1.0
51,113,1699,101,72,,,,,,,a,,1.0,1.0
52,304,1701,142,18,,,,,,,a,,1.0,1.0
53,304,1786,134,18,,,,,,,a,,1.0,1.0
54,260,1881,195,18,,,,,,,a,,1.0,1.0
55,532,297,109,38,,,,,,,a,,1.0,1.0
56,532,340,119,38,,,,,,,a,,1.0,1.0
57,507,438,160,18,,,,,,,a,,1.0,1.0
58,518,602,138,18,,,,,,,a,,1.0,1.0
59,191,1985,117,18,,,,,,,a,,1.0,1.0
60,87,2028,124,25,,,,,,,a,,1.0,1.0
61,87,2053,103,25,,,,,,,a,,1.0,1.0
62,87,2078,109,25,,,,,,,a,,1.0,1.0
63,87,2103,88,25,,,,,,,a,,1.0,1.0
64,87,2128,195,25,,,,,,,a,,1.0,1.0
65,567,2084,100,18,,,,,,,a,,1.0,1.0
66,552,2134,115,18,,,,,,,a,,1.0,1.0
67,577,2184,90,18,,,,,,,a,,1.0,1.0
68,617,2234,50,18,,,,,,,a,,1.0,1.0
69,107,170,560,44,,,1,,,,h1,,1.0,
70,107,140,124,1,,,,1,,,h2,,1.0,
71,107,1314,360,26,,,,1,,,h2,,1.0,
72,517,234,140,52,,,,1,,,h2,,1.0,
73,517,487,140,26,,,,1,,,h2,,1.0,
