,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,255,20,66,51,,,,,,,img,1.0,1.0,
2,10,100,29,24,,,,,,,img,1.0,1.0,
3,740,100,24,24,,,,,,,img,1.0,1.0,
4,107,150,16,16,,,,,,,img,1.0,1.0,
5,567,730,100,60,,,,,,,img,1.0,1.0,
6,552,810,115,30,,,,,,,img,1.0,1.0,
7,577,860,90,30,,,,,,,img,1.0,1.0,
8,617,910,50,30,,,,,,,img,1.0,1.0,
9,-1548,0,776,30,,,,,,,a,,1.0,1.0
10,105,59,150,18,,,,,,,a,,1.0,1.0
11,321,25,151,22,,,,,,,a,,1.0,1.0
12,321,47,50,17,,,,,,,a,,1.0,1.0
13,0,97,88,32,,,,,,,a,,1.0,1.0
14,730,97,44,32,,,,,,,a,,1.0,1.0
15,107,151,16,15,,,,,,,a,,1.0,1.0
16,143,239,222,22,,,,,,,a,,1.0,1.0
17,292,329,160,22,,,,,,,a,,1.0,1.0
18,107,329,556,47,,,,,,,a,,1.0,1.0
19,233,354,173,22,,,,,,,a,,1.0,1.0
20,117,504,240,62,,,,,,,a,,1.0,1.0
21,417,504,240,62,,,,,,,a,,1.0,1.0
22,87,720,124,25,,,,,,,a,,1.0,1.0
23,87,745,103,25,,,,,,,a,,1.0,1.0
24,87,770,109,25,,,,,,,a,,1.0,1.0
25,87,795,88,25,,,,,,,a,,1.0,1.0
26,87,820,195,25,,,,,,,a,,1.0,1.0
27,567,776,100,18,,,,,,,a,,1.0,1.0
28,552,826,115,18,,,,,,,a,,1.0,1.0
29,577,876,90,18,,,,,,,a,,1.0,1.0
30,617,926,50,18,,,,,,,a,,1.0,1.0
31,321,26,350,20,,,1,,,,h1,,1.0,
32,107,179,560,44,,,1,,,,h1,,1.0,
33,107,149,124,1,,,,1,,,h2,,1.0,
34,117,504,240,52,,,,1,,,h2,,1.0,
35,417,504,240,52,,,,1,,,h2,,1.0,
