,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,255,20,66,51,,,,,,,img,1.0,1.0,
2,10,100,29,24,,,,,,,img,1.0,1.0,
3,740,100,24,24,,,,,,,img,1.0,1.0,
4,107,150,16,16,,,,,,,img,1.0,1.0,
5,522,240,32,32,,,,,,,img,1.0,1.0,
6,558,240,32,32,,,,,,,img,1.0,1.0,
7,594,240,32,32,,,,,,,img,1.0,1.0,
8,630,240,32,32,,,,,,,img,1.0,1.0,
9,517,649,44,24,,,,,,,img,1.0,1.0,
10,517,694,44,24,,,,,,,img,1.0,1.0,
11,517,739,44,24,,,,,,,img,1.0,1.0,
12,517,768,44,24,,,,,,,img,1.0,1.0,
13,567,2541,100,60,,,,,,,img,1.0,1.0,
14,552,2621,115,30,,,,,,,img,1.0,1.0,
15,577,2671,90,30,,,,,,,img,1.0,1.0,
16,617,2721,50,30,,,,,,,img,1.0,1.0,
17,-1548,0,776,30,,,,,,,a,,1.0,1.0
18,105,59,150,18,,,,,,,a,,1.0,1.0
19,321,25,151,22,,,,,,,a,,1.0,1.0
20,321,47,50,17,,,,,,,a,,1.0,1.0
21,0,97,88,32,,,,,,,a,,1.0,1.0
22,730,97,44,32,,,,,,,a,,1.0,1.0
23,107,151,16,15,,,,,,,a,,1.0,1.0
24,522,252,32,9,,,,,,,a,,1.0,1.0
25,558,252,32,9,,,,,,,a,,1.0,1.0
26,594,252,32,9,,,,,,,a,,1.0,1.0
27,630,252,32,9,,,,,,,a,,1.0,1.0
28,107,239,334,38,,,,,,,a,,1.0,1.0
29,107,334,276,38,,,,,,,a,,1.0,1.0
30,200,414,154,18,,,,,,,a,,1.0,1.0
31,287,474,160,18,,,,,,,a,,1.0,1.0
32,147,840,284,38,,,,,,,a,,1.0,1.0
33,147,960,312,38,,,,,,,a,,1.0,1.0
34,147,980,276,38,,,,,,,a,,1.0,1.0
35,147,1120,291,38,,,,,,,a,,1.0,1.0
36,147,1247,222,38,,,,,,,a,,1.0,1.0
37,218,1267,67,18,,,,,,,a,,1.0,1.0
38,316,1527,98,18,,,,,,,a,,1.0,1.0
39,277,1567,48,18,,,,,,,a,,1.0,1.0
40,147,1567,316,38,,,,,,,a,,1.0,1.0
41,328,1587,47,18,,,,,,,a,,1.0,1.0
42,175,1607,99,18,,,,,,,a,,1.0,1.0
43,107,1804,324,38,,,,,,,a,,1.0,1.0
44,107,2093,333,38,,,,,,,a,,1.0,1.0
45,148,2188,161,18,,,,,,,a,,1.0,1.0
46,107,2188,316,38,,,,,,,a,,1.0,1.0
47,172,2208,153,18,,,,,,,a,,1.0,1.0
48,107,2208,336,38,,,,,,,a,,1.0,1.0
49,107,2268,349,38,,,,,,,a,,1.0,1.0
50,147,2357,297,38,,,,,,,a,,1.0,1.0
51,147,2397,295,38,,,,,,,a,,1.0,1.0
52,532,346,84,38,,,,,,,a,,1.0,1.0
53,532,389,84,38,,,,,,,a,,1.0,1.0
54,517,534,97,38,,,,,,,a,,1.0,1.0
55,567,740,72,18,,,,,,,a,,1.0,1.0
56,567,769,61,38,,,,,,,a,,1.0,1.0
57,191,2488,200,18,,,,,,,a,,1.0,1.0
58,87,2531,124,25,,,,,,,a,,1.0,1.0
59,87,2556,103,25,,,,,,,a,,1.0,1.0
60,87,2581,109,25,,,,,,,a,,1.0,1.0
61,87,2606,88,25,,,,,,,a,,1.0,1.0
62,87,2631,195,25,,,,,,,a,,1.0,1.0
63,567,2587,100,18,,,,,,,a,,1.0,1.0
64,552,2637,115,18,,,,,,,a,,1.0,1.0
65,577,2687,90,18,,,,,,,a,,1.0,1.0
66,617,2737,50,18,,,,,,,a,,1.0,1.0
67,321,26,350,20,,,1,,,,h1,,1.0,
68,107,179,560,44,,,1,,,,h1,,1.0,
69,107,149,124,1,,,,1,,,h2,,1.0,
70,107,508,360,52,,,,1,,,h2,,1.0,
71,107,1641,360,52,,,,1,,,h2,,1.0,
72,517,309,140,26,,,,1,,,h2,,1.0,
73,517,471,140,52,,,,1,,,h2,,1.0,
74,517,613,140,26,,,,1,,,h2,,1.0,
