,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,10,91,29,24,,,,,,,img,1.0,1.0,
2,740,91,24,24,,,,,,,img,1.0,1.0,
3,107,141,16,16,,,,,,,img,1.0,1.0,
4,567,1656,100,60,,,,,,,img,1.0,1.0,
5,552,1736,115,30,,,,,,,img,1.0,1.0,
6,577,1786,90,30,,,,,,,img,1.0,1.0,
7,617,1836,50,30,,,,,,,img,1.0,1.0,
8,-1548,0,776,30,,,,,,,a,,1.0,1.0
9,105,59,150,18,,,,,,,a,,1.0,1.0
10,0,88,88,32,,,,,,,a,,1.0,1.0
11,730,88,44,32,,,,,,,a,,1.0,1.0
12,107,142,16,15,,,,,,,a,,1.0,1.0
13,269,971,154,18,,,,,,,a,,1.0,1.0
14,322,1133,111,18,,,,,,,a,,1.0,1.0
15,155,1445,124,18,,,,,,,a,,1.0,1.0
16,521,1568,132,18,,,,,,,a,,1.0,1.0
17,87,1646,124,25,,,,,,,a,,1.0,1.0
18,87,1671,103,25,,,,,,,a,,1.0,1.0
19,87,1696,109,25,,,,,,,a,,1.0,1.0
20,87,1721,88,25,,,,,,,a,,1.0,1.0
21,87,1746,195,25,,,,,,,a,,1.0,1.0
22,567,1702,100,18,,,,,,,a,,1.0,1.0
23,552,1752,115,18,,,,,,,a,,1.0,1.0
24,577,1802,90,18,,,,,,,a,,1.0,1.0
25,617,1852,50,18,,,,,,,a,,1.0,1.0
26,107,170,560,44,,,1,,,,h1,,1.0,
27,107,140,124,1,,,,1,,,h2,,1.0,
28,107,894,560,26,,,,1,,,h2,,1.0,
