,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,10,91,29,24,,,,,,,img,1.0,1.0,
2,740,91,24,24,,,,,,,img,1.0,1.0,
3,107,141,16,16,,,,,,,img,1.0,1.0,
4,507,432,150,65,,,,,,,img,1.0,1.0,
5,507,512,150,64,,,,,,,img,1.0,1.0,
6,567,1319,100,60,,,,,,,img,1.0,1.0,
7,552,1399,115,30,,,,,,,img,1.0,1.0,
8,577,1449,90,30,,,,,,,img,1.0,1.0,
9,617,1499,50,30,,,,,,,img,1.0,1.0,
10,-1548,0,776,30,,,,,,,a,,1.0,1.0
11,105,59,150,18,,,,,,,a,,1.0,1.0
12,0,88,88,32,,,,,,,a,,1.0,1.0
13,730,88,44,32,,,,,,,a,,1.0,1.0
14,107,142,16,15,,,,,,,a,,1.0,1.0
15,532,297,85,18,,,,,,,a,,1.0,1.0
16,532,320,95,78,,,,,,,a,,1.0,1.0
17,507,483,150,18,,,,,,,a,,1.0,1.0
18,507,562,150,18,,,,,,,a,,1.0,1.0
19,107,618,159,29,,,,,,,a,,1.0,1.0
20,107,750,252,29,,,,,,,a,,1.0,1.0
21,107,882,261,55,,,,,,,a,,1.0,1.0
22,107,1040,152,29,,,,,,,a,,1.0,1.0
23,107,1172,118,29,,,,,,,a,,1.0,1.0
24,87,1309,124,25,,,,,,,a,,1.0,1.0
25,87,1334,103,25,,,,,,,a,,1.0,1.0
26,87,1359,109,25,,,,,,,a,,1.0,1.0
27,87,1384,88,25,,,,,,,a,,1.0,1.0
28,87,1409,195,25,,,,,,,a,,1.0,1.0
29,567,1365,100,18,,,,,,,a,,1.0,1.0
30,552,1415,115,18,,,,,,,a,,1.0,1.0
31,577,1465,90,18,,,,,,,a,,1.0,1.0
32,617,1515,50,18,,,,,,,a,,1.0,1.0
33,107,170,560,44,,,1,,,,h1,,1.0,
34,107,140,124,1,,,,1,,,h2,,1.0,
35,517,234,140,52,,,,1,,,h2,,1.0,
36,107,620,360,26,,,,1,,,h2,,1.0,
37,107,752,360,26,,,,1,,,h2,,1.0,
38,107,884,360,52,,,,1,,,h2,,1.0,
39,107,1042,360,26,,,,1,,,h2,,1.0,
40,107,1174,360,26,,,,1,,,h2,,1.0,
