,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,10,91,29,24,,,,,,,img,1.0,1.0,
2,740,91,24,24,,,,,,,img,1.0,1.0,
3,107,141,16,16,,,,,,,img,1.0,1.0,
4,117,416,240,135,,,,,,,img,1.0,1.0,
5,417,416,240,135,,,,,,,img,1.0,1.0,
6,117,801,240,135,,,,,,,img,1.0,1.0,
7,417,801,240,135,,,,,,,img,1.0,1.0,
8,117,1186,240,135,,,,,,,img,1.0,1.0,
9,417,1186,240,135,,,,,,,img,1.0,1.0,
10,117,1571,240,135,,,,,,,img,1.0,1.0,
11,417,1571,240,135,,,,,,,img,1.0,1.0,
12,117,1956,240,135,,,,,,,img,1.0,1.0,
13,417,1956,240,135,,,,,,,img,1.0,1.0,
14,117,2341,240,135,,,,,,,img,1.0,1.0,
15,417,2772,32,32,,,,,,,img,1.0,1.0,
16,417,2872,32,32,,,,,,,img,1.0,1.0,
17,417,2971,44,24,,,,,,,img,1.0,1.0,
18,417,3000,44,24,,,,,,,img,1.0,1.0,
19,567,3147,100,60,,,,,,,img,1.0,1.0,
20,552,3227,115,30,,,,,,,img,1.0,1.0,
21,577,3277,90,30,,,,,,,img,1.0,1.0,
22,617,3327,50,30,,,,,,,img,1.0,1.0,
23,-1548,0,776,30,,,,,,,a,,1.0,1.0
24,105,59,150,18,,,,,,,a,,1.0,1.0
25,0,88,88,32,,,,,,,a,,1.0,1.0
26,730,88,44,32,,,,,,,a,,1.0,1.0
27,-960,122,774,27,,,,,,,a,,1.0,1.0
28,-960,150,774,27,,,,,,,a,,1.0,1.0
29,-960,178,774,27,,,,,,,a,,1.0,1.0
30,-960,206,774,27,,,,,,,a,,1.0,1.0
31,-960,234,774,27,,,,,,,a,,1.0,1.0
32,-960,262,774,27,,,,,,,a,,1.0,1.0
33,-960,290,774,27,,,,,,,a,,1.0,1.0
34,-960,318,774,27,,,,,,,a,,1.0,1.0
35,-960,346,774,27,,,,,,,a,,1.0,1.0
36,-960,374,774,27,,,,,,,a,,1.0,1.0
37,-960,402,774,27,,,,,,,a,,1.0,1.0
38,-960,430,774,27,,,,,,,a,,1.0,1.0
39,0,122,774,27,,,,,,,a,,1.0,1.0
40,0,150,774,27,,,,,,,a,,1.0,1.0
41,0,178,774,27,,,,,,,a,,1.0,1.0
42,0,206,774,27,,,,,,,a,,1.0,1.0
43,0,234,774,27,,,,,,,a,,1.0,1.0
44,0,262,774,27,,,,,,,a,,1.0,1.0
45,0,290,774,27,,,,,,,a,,1.0,1.0
46,0,318,774,27,,,,,,,a,,1.0,1.0
47,0,346,774,27,,,,,,,a,,1.0,1.0
48,107,142,16,15,,,,,,,a,,1.0,1.0
49,136,142,33,15,,,,,,,a,,1.0,1.0
50,182,142,89,15,,,,,,,a,,1.0,1.0
51,518,234,149,63,,,,,,,a,,1.0,1.0
52,117,537,240,18,,,,,,,a,,1.0,1.0
53,117,564,191,29,,,,,,,a,,1.0,1.0
54,280,688,77,18,,,,,,,a,,1.0,1.0
55,417,537,240,18,,,,,,,a,,1.0,1.0
56,417,564,152,29,,,,,,,a,,1.0,1.0
57,580,668,77,18,,,,,,,a,,1.0,1.0
58,117,922,240,18,,,,,,,a,,1.0,1.0
59,117,949,144,29,,,,,,,a,,1.0,1.0
60,280,1073,77,18,,,,,,,a,,1.0,1.0
61,417,922,240,18,,,,,,,a,,1.0,1.0
62,417,949,186,29,,,,,,,a,,1.0,1.0
63,580,1053,77,18,,,,,,,a,,1.0,1.0
64,117,1307,240,18,,,,,,,a,,1.0,1.0
65,117,1334,193,29,,,,,,,a,,1.0,1.0
66,280,1438,77,18,,,,,,,a,,1.0,1.0
67,417,1307,240,18,,,,,,,a,,1.0,1.0
68,417,1334,152,29,,,,,,,a,,1.0,1.0
69,580,1438,77,18,,,,,,,a,,1.0,1.0
70,117,1692,240,18,,,,,,,a,,1.0,1.0
71,117,1719,156,29,,,,,,,a,,1.0,1.0
72,280,1843,77,18,,,,,,,a,,1.0,1.0
73,417,1692,240,18,,,,,,,a,,1.0,1.0
74,417,1719,184,29,,,,,,,a,,1.0,1.0
75,580,1843,77,18,,,,,,,a,,1.0,1.0
76,117,2077,240,18,,,,,,,a,,1.0,1.0
77,117,2104,230,29,,,,,,,a,,1.0,1.0
78,280,2208,77,18,,,,,,,a,,1.0,1.0
79,417,2077,240,18,,,,,,,a,,1.0,1.0
80,417,2104,126,29,,,,,,,a,,1.0,1.0
81,580,2208,77,18,,,,,,,a,,1.0,1.0
82,117,2462,240,18,,,,,,,a,,1.0,1.0
83,117,2491,240,32,,,,,,,a,,1.0,1.0
84,280,2589,77,18,,,,,,,a,,1.0,1.0
85,432,2378,201,38,,,,,,,a,,1.0,1.0
86,432,2421,100,18,,,,,,,a,,1.0,1.0
87,432,2444,196,18,,,,,,,a,,1.0,1.0
88,132,2789,90,18,,,,,,,a,,1.0,1.0
89,132,2812,146,18,,,,,,,a,,1.0,1.0
90,469,2770,153,32,,,,,,,a,,1.0,1.0
91,467,2808,134,46,,,,,,,a,,1.0,1.0
92,469,2870,62,18,,,,,,,a,,1.0,1.0
93,467,3001,80,18,,,,,,,a,,1.0,1.0
94,191,3093,300,18,,,,,,,a,,1.0,1.0
95,87,3137,124,25,,,,,,,a,,1.0,1.0
96,87,3162,103,25,,,,,,,a,,1.0,1.0
97,87,3187,109,25,,,,,,,a,,1.0,1.0
98,87,3212,88,25,,,,,,,a,,1.0,1.0
99,87,3237,195,25,,,,,,,a,,1.0,1.0
100,567,3193,100,18,,,,,,,a,,1.0,1.0
101,552,3243,115,18,,,,,,,a,,1.0,1.0
102,577,3293,90,18,,,,,,,a,,1.0,1.0
103,617,3343,50,18,,,,,,,a,,1.0,1.0
104,107,170,560,44,,,1,,,,h1,,1.0,
105,107,140,124,1,,,,1,,,h2,,1.0,
106,117,566,240,26,,,,1,,,h2,,1.0,
107,417,566,240,26,,,,1,,,h2,,1.0,
108,117,951,240,26,,,,1,,,h2,,1.0,
109,417,951,240,26,,,,1,,,h2,,1.0,
110,117,1336,240,26,,,,1,,,h2,,1.0,
111,417,1336,240,26,,,,1,,,h2,,1.0,
112,117,1721,240,26,,,,1,,,h2,,1.0,
113,417,1721,240,26,,,,1,,,h2,,1.0,
114,117,2106,240,26,,,,1,,,h2,,1.0,
115,417,2106,240,26,,,,1,,,h2,,1.0,
116,117,2491,240,32,,,,1,,,h2,,1.0,
117,417,2341,240,26,,,,1,,,h2,,1.0,
118,117,2726,240,52,,,,1,,,h2,,1.0,
119,417,2726,240,26,,,,1,,,h2,,1.0,
120,417,2935,240,26,,,,1,,,h2,,1.0,
