,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,255,20,66,51,,,,,,,img,1.0,1.0,
2,10,100,29,24,,,,,,,img,1.0,1.0,
3,735,100,29,24,,,,,,,img,1.0,1.0,
4,567,1382,100,60,,,,,,,img,1.0,1.0,
5,552,1462,115,30,,,,,,,img,1.0,1.0,
6,577,1512,90,30,,,,,,,img,1.0,1.0,
7,617,1562,50,30,,,,,,,img,1.0,1.0,
8,-1548,0,776,30,,,,,,,a,,1.0,1.0
9,105,59,150,18,,,,,,,a,,1.0,1.0
10,321,25,151,22,,,,,,,a,,1.0,1.0
11,321,47,50,17,,,,,,,a,,1.0,1.0
12,773,-1,1,1,,,,,,,a,,1.0,1.0
13,0,97,84,32,,,,,,,a,,1.0,1.0
14,725,97,49,32,,,,,,,a,,1.0,1.0
15,107,229,39,34,,,,,,,a,,1.0,1.0
16,150,229,27,34,,,,,,,a,,1.0,1.0
17,181,229,27,34,,,,,,,a,,1.0,1.0
18,212,229,28,34,,,,,,,a,,1.0,1.0
19,244,229,27,34,,,,,,,a,,1.0,1.0
20,275,229,27,34,,,,,,,a,,1.0,1.0
21,306,229,26,34,,,,,,,a,,1.0,1.0
22,336,229,28,34,,,,,,,a,,1.0,1.0
23,368,229,28,34,,,,,,,a,,1.0,1.0
24,400,229,22,34,,,,,,,a,,1.0,1.0
25,426,229,26,34,,,,,,,a,,1.0,1.0
26,456,229,28,34,,,,,,,a,,1.0,1.0
27,488,229,25,34,,,,,,,a,,1.0,1.0
28,517,229,31,34,,,,,,,a,,1.0,1.0
29,552,229,29,34,,,,,,,a,,1.0,1.0
30,585,229,28,34,,,,,,,a,,1.0,1.0
31,617,229,27,34,,,,,,,a,,1.0,1.0
32,107,271,28,34,,,,,,,a,,1.0,1.0
33,139,271,27,34,,,,,,,a,,1.0,1.0
34,170,271,27,34,,,,,,,a,,1.0,1.0
35,201,271,27,34,,,,,,,a,,1.0,1.0
36,232,271,27,34,,,,,,,a,,1.0,1.0
37,263,271,27,34,,,,,,,a,,1.0,1.0
38,294,271,31,34,,,,,,,a,,1.0,1.0
39,329,271,27,34,,,,,,,a,,1.0,1.0
40,360,271,27,34,,,,,,,a,,1.0,1.0
41,391,271,27,34,,,,,,,a,,1.0,1.0
42,311,394,39,20,,,,,,,a,,1.0,1.0
43,122,432,29,18,,,,,,,a,,1.0,1.0
44,122,472,62,18,,,,,,,a,,1.0,1.0
45,122,512,33,18,,,,,,,a,,1.0,1.0
46,122,552,87,18,,,,,,,a,,1.0,1.0
47,122,592,142,18,,,,,,,a,,1.0,1.0
48,122,632,84,18,,,,,,,a,,1.0,1.0
49,122,672,123,18,,,,,,,a,,1.0,1.0
50,122,712,132,18,,,,,,,a,,1.0,1.0
51,122,752,116,18,,,,,,,a,,1.0,1.0
52,122,792,120,18,,,,,,,a,,1.0,1.0
53,122,832,161,18,,,,,,,a,,1.0,1.0
54,122,872,134,18,,,,,,,a,,1.0,1.0
55,122,912,89,18,,,,,,,a,,1.0,1.0
56,122,952,51,18,,,,,,,a,,1.0,1.0
57,122,992,41,18,,,,,,,a,,1.0,1.0
58,122,1032,139,18,,,,,,,a,,1.0,1.0
59,122,1072,139,18,,,,,,,a,,1.0,1.0
60,122,1112,60,18,,,,,,,a,,1.0,1.0
61,122,1152,49,18,,,,,,,a,,1.0,1.0
62,122,1192,94,18,,,,,,,a,,1.0,1.0
63,317,1241,39,20,,,,,,,a,,1.0,1.0
64,246,1313,125,18,,,,,,,a,,1.0,1.0
65,206,1333,231,18,,,,,,,a,,1.0,1.0
66,87,1372,124,25,,,,,,,a,,1.0,1.0
67,87,1397,127,25,,,,,,,a,,1.0,1.0
68,87,1422,84,25,,,,,,,a,,1.0,1.0
69,87,1447,103,25,,,,,,,a,,1.0,1.0
70,87,1472,109,25,,,,,,,a,,1.0,1.0
71,87,1497,88,25,,,,,,,a,,1.0,1.0
72,87,1522,195,25,,,,,,,a,,1.0,1.0
73,567,1428,100,18,,,,,,,a,,1.0,1.0
74,552,1478,115,18,,,,,,,a,,1.0,1.0
75,577,1528,90,18,,,,,,,a,,1.0,1.0
76,617,1578,50,18,,,,,,,a,,1.0,1.0
77,321,26,350,20,,,1,,,,h1,,1.0,
78,107,189,560,26,,,,1,,,h2,,1.0,
79,269,310,173,21,,,,,,1,input,,1.0,
80,446,311,80,20,,,,,,1,input,,1.0,
81,409,354,80,20,,,,,,1,input,,1.0,
