,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,255,20,66,51,,,,,,,img,1.0,1.0,
2,10,100,29,24,,,,,,,img,1.0,1.0,
3,740,100,24,24,,,,,,,img,1.0,1.0,
4,107,150,16,16,,,,,,,img,1.0,1.0,
5,522,240,32,32,,,,,,,img,1.0,1.0,
6,558,240,32,32,,,,,,,img,1.0,1.0,
7,594,240,32,32,,,,,,,img,1.0,1.0,
8,630,240,32,32,,,,,,,img,1.0,1.0,
9,517,676,44,24,,,,,,,img,1.0,1.0,
10,517,721,44,24,,,,,,,img,1.0,1.0,
11,517,766,44,24,,,,,,,img,1.0,1.0,
12,517,795,44,24,,,,,,,img,1.0,1.0,
13,567,955,100,60,,,,,,,img,1.0,1.0,
14,552,1035,115,30,,,,,,,img,1.0,1.0,
15,577,1085,90,30,,,,,,,img,1.0,1.0,
16,617,1135,50,30,,,,,,,img,1.0,1.0,
17,-1548,0,776,30,,,,,,,a,,1.0,1.0
18,105,59,150,18,,,,,,,a,,1.0,1.0
19,321,25,151,22,,,,,,,a,,1.0,1.0
20,321,47,50,17,,,,,,,a,,1.0,1.0
21,0,97,88,32,,,,,,,a,,1.0,1.0
22,730,97,44,32,,,,,,,a,,1.0,1.0
23,107,151,16,15,,,,,,,a,,1.0,1.0
24,522,252,32,9,,,,,,,a,,1.0,1.0
25,558,252,32,9,,,,,,,a,,1.0,1.0
26,594,252,32,9,,,,,,,a,,1.0,1.0
27,630,252,32,9,,,,,,,a,,1.0,1.0
28,158,279,127,18,,,,,,,a,,1.0,1.0
29,275,299,56,18,,,,,,,a,,1.0,1.0
30,107,299,321,38,,,,,,,a,,1.0,1.0
31,233,454,225,18,,,,,,,a,,1.0,1.0
32,107,474,327,38,,,,,,,a,,1.0,1.0
33,184,589,172,18,,,,,,,a,,1.0,1.0
34,131,664,219,18,,,,,,,a,,1.0,1.0
35,107,684,133,18,,,,,,,a,,1.0,1.0
36,532,346,84,38,,,,,,,a,,1.0,1.0
37,532,389,84,58,,,,,,,a,,1.0,1.0
38,532,452,111,58,,,,,,,a,,1.0,1.0
39,532,515,114,38,,,,,,,a,,1.0,1.0
40,532,558,88,38,,,,,,,a,,1.0,1.0
41,567,767,72,18,,,,,,,a,,1.0,1.0
42,567,796,61,38,,,,,,,a,,1.0,1.0
43,191,902,200,18,,,,,,,a,,1.0,1.0
44,87,945,124,25,,,,,,,a,,1.0,1.0
45,87,970,103,25,,,,,,,a,,1.0,1.0
46,87,995,109,25,,,,,,,a,,1.0,1.0
47,87,1020,88,25,,,,,,,a,,1.0,1.0
48,87,1045,195,25,,,,,,,a,,1.0,1.0
49,567,1001,100,18,,,,,,,a,,1.0,1.0
50,552,1051,115,18,,,,,,,a,,1.0,1.0
51,577,1101,90,18,,,,,,,a,,1.0,1.0
52,617,1151,50,18,,,,,,,a,,1.0,1.0
53,321,26,350,20,,,1,,,,h1,,1.0,
54,107,179,560,44,,,1,,,,h1,,1.0,
55,107,149,124,1,,,,1,,,h2,,1.0,
56,517,309,140,26,,,,1,,,h2,,1.0,
57,517,640,140,26,,,,1,,,h2,,1.0,
