,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,10,91,29,24,,,,,,,img,1.0,1.0,
2,740,91,24,24,,,,,,,img,1.0,1.0,
3,107,141,16,16,,,,,,,img,1.0,1.0,
4,117,601,240,135,,,,,,,img,1.0,1.0,
5,417,601,240,135,,,,,,,img,1.0,1.0,
6,117,963,240,135,,,,,,,img,1.0,1.0,
7,417,963,240,135,,,,,,,img,1.0,1.0,
8,117,1326,240,135,,,,,,,img,1.0,1.0,
9,417,1372,32,32,,,,,,,img,1.0,1.0,
10,417,1419,32,32,,,,,,,img,1.0,1.0,
11,417,1466,32,32,,,,,,,img,1.0,1.0,
12,427,1599,44,24,,,,,,,img,1.0,1.0,
13,427,1633,44,24,,,,,,,img,1.0,1.0,
14,427,1677,44,24,,,,,,,img,1.0,1.0,
15,567,1825,100,60,,,,,,,img,1.0,1.0,
16,552,1905,115,30,,,,,,,img,1.0,1.0,
17,577,1955,90,30,,,,,,,img,1.0,1.0,
18,617,2005,50,30,,,,,,,img,1.0,1.0,
19,-1548,0,776,30,,,,,,,a,,1.0,1.0
20,105,59,150,18,,,,,,,a,,1.0,1.0
21,0,88,88,32,,,,,,,a,,1.0,1.0
22,730,88,44,32,,,,,,,a,,1.0,1.0
23,-960,122,774,27,,,,,,,a,,1.0,1.0
24,-960,150,774,27,,,,,,,a,,1.0,1.0
25,-960,178,774,27,,,,,,,a,,1.0,1.0
26,-960,206,774,27,,,,,,,a,,1.0,1.0
27,-960,234,774,27,,,,,,,a,,1.0,1.0
28,-960,262,774,27,,,,,,,a,,1.0,1.0
29,-960,290,774,27,,,,,,,a,,1.0,1.0
30,-960,318,774,27,,,,,,,a,,1.0,1.0
31,-960,346,774,27,,,,,,,a,,1.0,1.0
32,-960,374,774,27,,,,,,,a,,1.0,1.0
33,-960,402,774,27,,,,,,,a,,1.0,1.0
34,-960,430,774,27,,,,,,,a,,1.0,1.0
35,-960,458,774,27,,,,,,,a,,1.0,1.0
36,-960,122,774,27,,,,,,,a,,1.0,1.0
37,-960,150,774,27,,,,,,,a,,1.0,1.0
38,-960,178,774,27,,,,,,,a,,1.0,1.0
39,-960,206,774,27,,,,,,,a,,1.0,1.0
40,-960,234,774,27,,,,,,,a,,1.0,1.0
41,-960,262,774,27,,,,,,,a,,1.0,1.0
42,0,122,774,27,,,,,,,a,,1.0,1.0
43,0,150,774,27,,,,,,,a,,1.0,1.0
44,0,178,774,27,,,,,,,a,,1.0,1.0
45,0,206,774,27,,,,,,,a,,1.0,1.0
46,0,234,774,27,,,,,,,a,,1.0,1.0
47,0,262,774,27,,,,,,,a,,1.0,1.0
48,0,290,774,27,,,,,,,a,,1.0,1.0
49,107,142,16,15,,,,,,,a,,1.0,1.0
50,136,142,98,15,,,,,,,a,,1.0,1.0
51,247,142,139,15,,,,,,,a,,1.0,1.0
52,107,234,62,30,,,,,,,a,,1.0,1.0
53,179,234,68,30,,,,,,,a,,1.0,1.0
54,257,234,52,30,,,,,,,a,,1.0,1.0
55,319,234,91,30,,,,,,,a,,1.0,1.0
56,420,234,158,30,,,,,,,a,,1.0,1.0
57,107,264,71,30,,,,,,,a,,1.0,1.0
58,188,264,75,30,,,,,,,a,,1.0,1.0
59,272,264,71,30,,,,,,,a,,1.0,1.0
60,507,330,160,86,,,,,,,a,,1.0,1.0
61,117,722,240,18,,,,,,,a,,1.0,1.0
62,117,749,185,55,,,,,,,a,,1.0,1.0
63,280,894,77,18,,,,,,,a,,1.0,1.0
64,417,722,240,18,,,,,,,a,,1.0,1.0
65,417,749,142,55,,,,,,,a,,1.0,1.0
66,580,894,77,18,,,,,,,a,,1.0,1.0
67,117,1085,240,18,,,,,,,a,,1.0,1.0
68,117,1112,126,29,,,,,,,a,,1.0,1.0
69,280,1231,77,18,,,,,,,a,,1.0,1.0
70,417,1085,240,18,,,,,,,a,,1.0,1.0
71,417,1112,178,55,,,,,,,a,,1.0,1.0
72,580,1257,77,18,,,,,,,a,,1.0,1.0
73,117,1447,240,18,,,,,,,a,,1.0,1.0
74,117,1474,147,55,,,,,,,a,,1.0,1.0
75,280,1619,77,18,,,,,,,a,,1.0,1.0
76,469,1370,153,18,,,,,,,a,,1.0,1.0
77,469,1417,153,18,,,,,,,a,,1.0,1.0
78,469,1464,153,18,,,,,,,a,,1.0,1.0
79,427,1551,204,29,,,,,,,a,,1.0,1.0
80,477,1600,72,18,,,,,,,a,,1.0,1.0
81,427,1677,219.984375,29,,,,,,,a,,1.0,1.0
82,87,1815,124,25,,,,,,,a,,1.0,1.0
83,87,1840,103,25,,,,,,,a,,1.0,1.0
84,87,1865,109,25,,,,,,,a,,1.0,1.0
85,87,1890,88,25,,,,,,,a,,1.0,1.0
86,87,1915,195,25,,,,,,,a,,1.0,1.0
87,567,1871,100,18,,,,,,,a,,1.0,1.0
88,552,1921,115,18,,,,,,,a,,1.0,1.0
89,577,1971,90,18,,,,,,,a,,1.0,1.0
90,617,2021,50,18,,,,,,,a,,1.0,1.0
91,107,170,560,44,,,1.0,,,,h1,,1.0,
92,107,140,124,1,,,,1.0,,,h2,,1.0,
93,117,751,240,52,,,,1.0,,,h2,,1.0,
94,417,751,240,52,,,,1.0,,,h2,,1.0,
95,117,1114,240,26,,,,1.0,,,h2,,1.0,
96,417,1114,240,52,,,,1.0,,,h2,,1.0,
97,117,1476,240,52,,,,1.0,,,h2,,1.0,
98,417,1326,240,26,,,,1.0,,,h2,,1.0,
99,427,1553,220,26,,,,1.0,,,h2,,1.0,
