,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,10,91,29,24,,,,,,,img,1.0,1.0,
2,740,91,24,24,,,,,,,img,1.0,1.0,
3,-638,120,2000,500,,,,,,,img,1.0,1.0,
4,199,746,75,95,,,,,,,img,1.0,1.0,
5,499,746,75,95,,,,,,,img,1.0,1.0,
6,199,1051,75,95,,,,,,,img,1.0,1.0,
7,499,1051,75,95,,,,,,,img,1.0,1.0,
8,349,1487,75,95,,,,,,,img,1.0,1.0,
9,349,1854,75,95,,,,,,,img,1.0,1.0,
10,212,2340,50,70,,,,,,,img,1.0,1.0,
11,512,2340,50,70,,,,,,,img,1.0,1.0,
12,212,2621,50,70,,,,,,,img,1.0,1.0,
13,512,2621,50,70,,,,,,,img,1.0,1.0,
14,567,2927,100,60,,,,,,,img,1.0,1.0,
15,552,3007,115,30,,,,,,,img,1.0,1.0,
16,577,3057,90,30,,,,,,,img,1.0,1.0,
17,617,3107,50,30,,,,,,,img,1.0,1.0,
18,-1548,0,776,30,,,,,,,a,,1.0,1.0
19,105,59,150,18,,,,,,,a,,1.0,1.0
20,0,88,88,32,,,,,,,a,,1.0,1.0
21,730,88,44,32,,,,,,,a,,1.0,1.0
22,182,927,110,18,,,,,,,a,,1.0,1.0
23,482,927,110,18,,,,,,,a,,1.0,1.0
24,469,947,136,18,,,,,,,a,,1.0,1.0
25,345,1617,84,18,,,,,,,a,,1.0,1.0
26,174,1715,118,18,,,,,,,a,,1.0,1.0
27,446,1715,118,18,,,,,,,a,,1.0,1.0
28,450,1735,110,18,,,,,,,a,,1.0,1.0
29,358,2035,58,18,,,,,,,a,,1.0,1.0
30,320,2075,134,18,,,,,,,a,,1.0,1.0
31,182,2496,110,18,,,,,,,a,,1.0,1.0
32,182,2518,110,15,,,,,,,a,,1.0,1.0
33,482,2496,110,18,,,,,,,a,,1.0,1.0
34,459,2518,156,15,,,,,,,a,,1.0,1.0
35,182,2777,110,18,,,,,,,a,,1.0,1.0
36,172,2799,130,15,,,,,,,a,,1.0,1.0
37,482,2777,110,18,,,,,,,a,,1.0,1.0
38,483,2799,108,15,,,,,,,a,,1.0,1.0
39,87,2917,124,25,,,,,,,a,,1.0,1.0
40,87,2942,103,25,,,,,,,a,,1.0,1.0
41,87,2967,109,25,,,,,,,a,,1.0,1.0
42,87,2992,88,25,,,,,,,a,,1.0,1.0
43,87,3017,195,25,,,,,,,a,,1.0,1.0
44,567,2973,100,18,,,,,,,a,,1.0,1.0
45,552,3023,115,18,,,,,,,a,,1.0,1.0
46,577,3073,90,18,,,,,,,a,,1.0,1.0
47,617,3123,50,18,,,,,,,a,,1.0,1.0
48,127,504,300,56,,,1,,,,h1,,1.0,
49,107,640,560,56,,,,1,,,h2,,1.0,
50,107,1381,560,56,,,,1,,,h2,,1.0,
51,107,2234,560,56,,,,1,,,h2,,1.0,
52,417,1231,196,35,,,,,,1,input,,1.0,
53,614,1231,40,35,,,,,,1,input,,1.0,
