,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_a,p
0,0,0,1,1,,,,,,,a,1.0,1.0
1,616,46,38,16,,,,,,,a,1.0,1.0
2,689,39,65,30,,,,,,,a,1.0,1.0
3,0,98,100,100,,,,,,,a,1.0,1.0
4,729,131,25,28,,,,,,,a,1.0,1.0
5,78,866,97,19,,,,,,,a,1.0,1.0
6,78,892,132,19,,,,,,,a,1.0,1.0
7,78,918,95,19,,,,,,,a,1.0,1.0
8,78,944,219,19,,,,,,,a,1.0,1.0
9,78,970,94,19,,,,,,,a,1.0,1.0
10,187,1010,400,60,,,,,,,a,1.0,1.0
11,98,1154,76,26,,,,,,,a,1.0,1.0
12,195,1154,95,26,,,,,,,a,1.0,1.0
13,310,1154,80,26,,,,,,,a,1.0,1.0
14,409,1154,183,26,,,,,,,a,1.0,1.0
15,612,1154,56,26,,,,,,,a,1.0,1.0
16,575,1200,34,46,,,,,,,a,1.0,1.0
17,624,1200,33,46,,,,,,,a,1.0,1.0
18,672,1200,34,46,,,,,,,a,1.0,1.0
19,720,1200,34,46,,,,,,,a,1.0,1.0
20,710,261,21,21,,,,,,,a,1.0,1.0
21,712,387,27,27,,,,,,,a,1.0,1.0
22,832,617,19,19,,,,,,,a,1.0,1.0
23,92,238,589,56,,,1,,,,h1,,1.0
24,55,505,664,94,,,,1,,,h2,,1.0
25,15,1174,1,1,,,,1,,,h2,,1.0
26,674,98,25,100,,,,,,1,input,,1.0
27,55,759,277,34,,,,,,1,input,,1.0
28,147,805,13,13,,,,,,1,input,,1.0
29,197,805,13,13,,,,,,1,input,,1.0
30,313,805,13,13,,,,,,1,input,,1.0
31,382,805,13,13,,,,,,1,input,,1.0
