,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,255,20,66,51,,,,,,,img,1.0,1.0,
2,10,100,29,24,,,,,,,img,1.0,1.0,
3,740,100,24,24,,,,,,,img,1.0,1.0,
4,137,179,500,282,,,,,,,img,1.0,1.0,
5,117,960,240,135,,,,,,,img,1.0,1.0,
6,417,960,240,135,,,,,,,img,1.0,1.0,
7,417,1271,240,135,,,,,,,img,1.0,1.0,
8,117,1568,240,135,,,,,,,img,1.0,1.0,
9,127,2060,240,135,,,,,,,img,1.0,1.0,
10,407,2060,240,135,,,,,,,img,1.0,1.0,
11,567,2359,100,60,,,,,,,img,1.0,1.0,
12,552,2439,115,30,,,,,,,img,1.0,1.0,
13,577,2489,90,30,,,,,,,img,1.0,1.0,
14,617,2539,50,30,,,,,,,img,1.0,1.0,
15,-1548,0,776,30,,,,,,,a,,1.0,1.0
16,105,59,150,18,,,,,,,a,,1.0,1.0
17,321,25,91,22,,,,,,,a,,1.0,1.0
18,321,47,50,17,,,,,,,a,,1.0,1.0
19,0,97,88,32,,,,,,,a,,1.0,1.0
20,730,97,44,32,,,,,,,a,,1.0,1.0
21,137,447,500,18,,,,,,,a,,1.0,1.0
22,137,475,453,72,,,,,,,a,,1.0,1.0
23,560,652,77,18,,,,,,,a,,1.0,1.0
24,127,826,148,18,,,,,,,a,,1.0,1.0
25,127,860,87,18,,,,,,,a,,1.0,1.0
26,117,1103,121,55,,,,,,,a,,1.0,1.0
27,417,1103,229,29,,,,,,,a,,1.0,1.0
28,417,1414,186,55,,,,,,,a,,1.0,1.0
29,117,1711,154,55,,,,,,,a,,1.0,1.0
30,127,1914,269,37,,,,,,,a,,1.0,1.0
31,127,2211,112,22,,,,,,,a,,1.0,1.0
32,407,2211,180,47,,,,,,,a,,1.0,1.0
33,87,2349,124,25,,,,,,,a,,1.0,1.0
34,87,2374,103,25,,,,,,,a,,1.0,1.0
35,87,2399,109,25,,,,,,,a,,1.0,1.0
36,87,2424,88,25,,,,,,,a,,1.0,1.0
37,87,2449,195,25,,,,,,,a,,1.0,1.0
38,567,2405,100,18,,,,,,,a,,1.0,1.0
39,552,2455,115,18,,,,,,,a,,1.0,1.0
40,577,2505,90,18,,,,,,,a,,1.0,1.0
41,617,2555,50,18,,,,,,,a,,1.0,1.0
42,321,26,350,20,,,1,,,,h1,,1.0,
43,137,466,500,90,,,,1,,,h2,,1.0,
44,117,1095,240,62,,,,1,,,h2,,1.0,
45,417,1095,240,36,,,,1,,,h2,,1.0,
46,417,1406,240,62,,,,1,,,h2,,1.0,
47,117,1703,240,62,,,,1,,,h2,,1.0,
48,127,1915,520,35,,,,1,,,h2,,1.0,
49,127,760,362,50,,,,,,1,input,,1.0,
50,513,758,104,50,,,,,,1,input,,1.0,
