,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,105,20,150,53,,,,,,,img,1.0,1.0,
1,255,20,66,51,,,,,,,img,1.0,1.0,
2,10,100,29,24,,,,,,,img,1.0,1.0,
3,740,100,24,24,,,,,,,img,1.0,1.0,
4,107,150,16,16,,,,,,,img,1.0,1.0,
5,567,1733,100,60,,,,,,,img,1.0,1.0,
6,552,1813,115,30,,,,,,,img,1.0,1.0,
7,577,1863,90,30,,,,,,,img,1.0,1.0,
8,617,1913,50,30,,,,,,,img,1.0,1.0,
9,-1548,0,776,30,,,,,,,a,,1.0,1.0
10,105,59,150,18,,,,,,,a,,1.0,1.0
11,321,19,75,22,,,,,,,a,,1.0,1.0
12,0,97,88,32,,,,,,,a,,1.0,1.0
13,730,97,44,32,,,,,,,a,,1.0,1.0
14,0,131,774,27,,,,,,,a,,1.0,1.0
15,0,159,774,27,,,,,,,a,,1.0,1.0
16,0,187,774,27,,,,,,,a,,1.0,1.0
17,0,215,774,27,,,,,,,a,,1.0,1.0
18,0,243,774,27,,,,,,,a,,1.0,1.0
19,0,271,774,27,,,,,,,a,,1.0,1.0
20,0,299,774,27,,,,,,,a,,1.0,1.0
21,107,151,16,15,,,,,,,a,,1.0,1.0
22,136,151,99,15,,,,,,,a,,1.0,1.0
23,107,517,119,29,,,,,,,a,,1.0,1.0
24,107,674,266,29,,,,,,,a,,1.0,1.0
25,107,831,300,29,,,,,,,a,,1.0,1.0
26,107,988,309,55,,,,,,,a,,1.0,1.0
27,107,1171,265,29,,,,,,,a,,1.0,1.0
28,107,1328,302,29,,,,,,,a,,1.0,1.0
29,107,1505,77,29,,,,,,,a,,1.0,1.0
30,517,681,114,18,,,,,,,a,,1.0,1.0
31,517,701,138,38,,,,,,,a,,1.0,1.0
32,532,868,89,38,,,,,,,a,,1.0,1.0
33,532,911,117,58,,,,,,,a,,1.0,1.0
34,87,1723,124,25,,,,,,,a,,1.0,1.0
35,87,1748,103,25,,,,,,,a,,1.0,1.0
36,87,1773,109,25,,,,,,,a,,1.0,1.0
37,87,1798,88,25,,,,,,,a,,1.0,1.0
38,87,1823,195,25,,,,,,,a,,1.0,1.0
39,567,1779,100,18,,,,,,,a,,1.0,1.0
40,552,1829,115,18,,,,,,,a,,1.0,1.0
41,577,1879,90,18,,,,,,,a,,1.0,1.0
42,617,1929,50,18,,,,,,,a,,1.0,1.0
43,321,20,350,20,,,1,,,,h1,,1.0,
44,107,179,560,44,,,1,,,,h1,,1.0,
45,107,149,124,1,,,,1,,,h2,,1.0,
46,107,519,360,26,,,,1,,,h2,,1.0,
47,107,676,360,26,,,,1,,,h2,,1.0,
48,107,833,360,26,,,,1,,,h2,,1.0,
49,107,990,360,52,,,,1,,,h2,,1.0,
50,107,1173,360,26,,,,1,,,h2,,1.0,
51,107,1330,360,26,,,,1,,,h2,,1.0,
52,107,1507,360,26,,,,1,,,h2,,1.0,
53,517,529,140,26,,,,1,,,h2,,1.0,
54,517,805,140,52,,,,1,,,h2,,1.0,
