,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,330,30,114,50,,,,,,,img,1.0,1.0,
1,60,595,314,177,,,,,,,img,1.0,1.0,
2,60,1171,314,194,,,,,,,img,1.0,1.0,
3,399,595,314,189,,,,,,,img,1.0,1.0,
4,399,1126,314,209,,,,,,,img,1.0,1.0,
5,60,1668,653,435,,,,,,,img,1.0,1.0,
6,60,2304,653,426,,,,,,,img,1.0,1.0,
7,60,2908,295,197,,,,,,,img,1.0,1.0,
8,60,3305,653,425,,,,,,,img,1.0,1.0,
9,60,3929,287,191,,,,,,,img,1.0,1.0,
10,60,4320,653,435,,,,,,,img,1.0,1.0,
11,72,5101,70,70,,,,,,,img,1.0,1.0,
12,152,5101,70,70,,,,,,,img,1.0,1.0,
13,232,5101,70,70,,,,,,,img,1.0,1.0,
14,312,5101,70,70,,,,,,,img,1.0,1.0,
15,392,5101,70,70,,,,,,,img,1.0,1.0,
16,472,5101,70,70,,,,,,,img,1.0,1.0,
17,552,5101,70,70,,,,,,,img,1.0,1.0,
18,632,5101,70,70,,,,,,,img,1.0,1.0,
19,232,5181,70,70,,,,,,,img,1.0,1.0,
20,312,5181,70,70,,,,,,,img,1.0,1.0,
21,392,5181,70,70,,,,,,,img,1.0,1.0,
22,472,5181,70,70,,,,,,,img,1.0,1.0,
23,60,30,16,35,,,,,,,a,,1.0,1.0
24,330,43,114,20,,,,,,,a,,1.0,1.0
25,339,304,95,32,,,,,,,a,,1.0,1.0
26,339,304,95,32,,,,,,,a,,1.0,1.0
27,339,304,95,32,,,,,,,a,,1.0,1.0
28,339,304,95,32,,,,,,,a,,1.0,1.0
29,339,320,95,32,,,,,,,a,,1.0,1.0
30,318,404,18,18,,,,,,,a,,1.0,1.0
31,347,403,18,18,,,,,,,a,,1.0,1.0
32,378,404,18,18,,,,,,,a,,1.0,1.0
33,408,404,18,18,,,,,,,a,,1.0,1.0
34,438,404,18,18,,,,,,,a,,1.0,1.0
35,60,671,314,20,,,,,,,a,,1.0,1.0
36,60,820,313,42,,,,,,,a,,1.0,1.0
37,60,910,139,32,,,,,,,a,,1.0,1.0
38,60,1256,314,20,,,,,,,a,,1.0,1.0
39,131,1412,57,20,,,,,,,a,,1.0,1.0
40,60,1546,139,32,,,,,,,a,,1.0,1.0
41,607,876,32,20,,,,,,,a,,1.0,1.0
42,399,1219,314,20,,,,,,,a,,1.0,1.0
43,470,1384,57,20,,,,,,,a,,1.0,1.0
44,399,1474,139,32,,,,,,,a,,1.0,1.0
45,60,1668,653,460.328125,,,,,,,a,,1.0,1.0
46,339,2247,95,32,,,,,,,a,,1.0,1.0
47,60,2304,653,451.015625,,,,,,,a,,1.0,1.0
48,339,2851,95,32,,,,,,,a,,1.0,1.0
49,60,2908,653,222,,,,,,,a,,1.0,1.0
50,339,3248,95,32,,,,,,,a,,1.0,1.0
51,60,3305,653,449.59375,,,,,,,a,,1.0,1.0
52,339,3872,95,32,,,,,,,a,,1.0,1.0
53,60,3929,653,216,,,,,,,a,,1.0,1.0
54,339,4263,95,32,,,,,,,a,,1.0,1.0
55,60,4320,653,460.234375,,,,,,,a,,1.0,1.0
56,339,4899,95,32,,,,,,,a,,1.0,1.0
57,72,5101,70,70,,,,,,,a,,1.0,1.0
58,152,5101,70,70,,,,,,,a,,1.0,1.0
59,232,5101,70,70,,,,,,,a,,1.0,1.0
60,312,5101,70,70,,,,,,,a,,1.0,1.0
61,392,5101,70,70,,,,,,,a,,1.0,1.0
62,472,5101,70,70,,,,,,,a,,1.0,1.0
63,552,5101,70,70,,,,,,,a,,1.0,1.0
64,632,5101,70,70,,,,,,,a,,1.0,1.0
65,232,5181,70,70,,,,,,,a,,1.0,1.0
66,312,5181,70,70,,,,,,,a,,1.0,1.0
67,392,5181,70,70,,,,,,,a,,1.0,1.0
68,472,5181,70,70,,,,,,,a,,1.0,1.0
69,729,5537,20,20,,,,,,,a,,1.0,1.0
70,224,5539,94,22,,,,,,,a,,1.0,1.0
71,338,5539,59,22,,,,,,,a,,1.0,1.0
72,418,5539,39,22,,,,,,,a,,1.0,1.0
73,478,5539,71,22,,,,,,,a,,1.0,1.0
74,-2999,5498,89,15,,,,,,,a,,1.0,1.0
75,-2907,5498,89,15,,,,,,,a,,1.0,1.0
76,-2815,5498,84,15,,,,,,,a,,1.0,1.0
77,-2728,5498,47,15,,,,,,,a,,1.0,1.0
78,-2679,5498,148,15,,,,,,,a,,1.0,1.0
79,-2529,5498,161,15,,,,,,,a,,1.0,1.0
80,-2365,5498,101,15,,,,,,,a,,1.0,1.0
81,-2261,5498,73,15,,,,,,,a,,1.0,1.0
82,-2186,5498,73,15,,,,,,,a,,1.0,1.0
83,-2111,5498,28,15,,,,,,,a,,1.0,1.0
84,60,488,314,82,,,1,,,,h1,,1.0,
85,60,1023,314,123,,,1,,,,h1,,1.0,
86,399,488,314,82,,,1,,,,h1,,1.0,
87,399,978,314,123,,,1,,,,h1,,1.0,
