,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,p,c_a
0,15,22,360,87,,,,,,,img,1.0,1.0,
1,27,792,223,147,,,,,,,img,1.0,1.0,
2,275,792,223,147,,,,,,,img,1.0,1.0,
3,523,792,223,147,,,,,,,img,1.0,1.0,
4,27,1169,223,147,,,,,,,img,1.0,1.0,
5,275,1169,223,147,,,,,,,img,1.0,1.0,
6,523,1169,223,147,,,,,,,img,1.0,1.0,
7,27,2647,223,149,,,,,,,img,1.0,1.0,
8,275,2647,223,149,,,,,,,img,1.0,1.0,
9,523,2647,223,149,,,,,,,img,1.0,1.0,
10,27,3176,223,149,,,,,,,img,1.0,1.0,
11,275,3176,223,149,,,,,,,img,1.0,1.0,
12,523,3176,223,149,,,,,,,img,1.0,1.0,
13,28,4069,123,177,,,,,,,img,1.0,1.0,
14,177,4069,123,172,,,,,,,img,1.0,1.0,
15,326,4069,123,188,,,,,,,img,1.0,1.0,
16,474,4069,123,177,,,,,,,img,1.0,1.0,
17,623,4069,123,174,,,,,,,img,1.0,1.0,
18,-520,4889,79,24,,,,,,,img,1.0,1.0,
19,-433,4886,79,29,,,,,,,img,1.0,1.0,
20,-346,4862,79,78,,,,,,,img,1.0,1.0,
21,-259,4862,79,78,,,,,,,img,1.0,1.0,
22,-172,4885,79,32,,,,,,,img,1.0,1.0,
23,-85,4893,79,16,,,,,,,img,1.0,1.0,
24,2,4882,79,38,,,,,,,img,1.0,1.0,
25,89,4887,79,28,,,,,,,img,1.0,1.0,
26,176,4862,79,78,,,,,,,img,1.0,1.0,
27,263,4887,79,27,,,,,,,img,1.0,1.0,
28,350,4860,79,81,,,,,,,img,1.0,1.0,
29,443,4856,67,90,,,,,,,img,1.0,1.0,
30,524,4868,79,65,,,,,,,img,1.0,1.0,
31,611,4862,79,78,,,,,,,img,1.0,1.0,
32,698,4889,79,24,,,,,,,img,1.0,1.0,
33,785,4862,79,78,,,,,,,img,1.0,1.0,
34,872,4879,79,44,,,,,,,img,1.0,1.0,
35,959,4894,79,14,,,,,,,img,1.0,1.0,
36,1046,4882,79,38,,,,,,,img,1.0,1.0,
37,1133,4888,79,26,,,,,,,img,1.0,1.0,
38,1220,4893,79,16,,,,,,,img,1.0,1.0,
39,1307,4862,79,77,,,,,,,img,1.0,1.0,
40,1394,4862,79,78,,,,,,,img,1.0,1.0,
41,1481,4861,79,79,,,,,,,img,1.0,1.0,
42,1568,4862,79,77,,,,,,,img,1.0,1.0,
43,1655,4889,79,24,,,,,,,img,1.0,1.0,
44,1742,4858,79,86,,,,,,,img,1.0,1.0,
45,1829,4873,79,56,,,,,,,img,1.0,1.0,
46,1924,4856,63,90,,,,,,,img,1.0,1.0,
47,2003,4861,79,79,,,,,,,img,1.0,1.0,
48,2090,4877,79,48,,,,,,,img,1.0,1.0,
49,2177,4882,79,38,,,,,,,img,1.0,1.0,
50,2264,4862,79,78,,,,,,,img,1.0,1.0,
51,2351,4879,79,44,,,,,,,img,1.0,1.0,
52,2438,4860,79,81,,,,,,,img,1.0,1.0,
53,2525,4888,79,25,,,,,,,img,1.0,1.0,
54,2612,4888,79,26,,,,,,,img,1.0,1.0,
55,2699,4862,79,78,,,,,,,img,1.0,1.0,
56,2786,4863,79,75,,,,,,,img,1.0,1.0,
57,2873,4862,79,78,,,,,,,img,1.0,1.0,
58,2960,4878,79,46,,,,,,,img,1.0,1.0,
59,3047,4883,79,35,,,,,,,img,1.0,1.0,
60,3134,4877,79,48,,,,,,,img,1.0,1.0,
61,3221,4890,79,22,,,,,,,img,1.0,1.0,
62,3308,4861,79,80,,,,,,,img,1.0,1.0,
63,3395,4862,79,78,,,,,,,img,1.0,1.0,
64,3482,4886,79,30,,,,,,,img,1.0,1.0,
65,3569,4891,79,19,,,,,,,img,1.0,1.0,
66,3656,4895,79,12,,,,,,,img,1.0,1.0,
67,3743,4889,79,24,,,,,,,img,1.0,1.0,
68,3830,4886,79,29,,,,,,,img,1.0,1.0,
69,3911,4862,79,78,,,,,,,img,1.0,1.0,
70,3991,4862,79,78,,,,,,,img,1.0,1.0,
71,4066,4885,79,32,,,,,,,img,1.0,1.0,
72,4128,4893,79,16,,,,,,,img,1.0,1.0,
73,4191,4882,79,38,,,,,,,img,1.0,1.0,
74,4229,4887,79,28,,,,,,,img,1.0,1.0,
75,4274,4862,79,78,,,,,,,img,1.0,1.0,
76,4285,4887,79,27,,,,,,,img,1.0,1.0,
77,4282,4860,79,81,,,,,,,img,1.0,1.0,
78,4326,4856,67,90,,,,,,,img,1.0,1.0,
79,4333,4868,79,65,,,,,,,img,1.0,1.0,
80,4379,4862,79,78,,,,,,,img,1.0,1.0,
81,117,5278,120,120,,,,,,,img,1.0,1.0,
82,327,5278,120,120,,,,,,,img,1.0,1.0,
83,537,5278,120,120,,,,,,,img,1.0,1.0,
84,117,5536,120,120,,,,,,,img,1.0,1.0,
85,327,5536,120,120,,,,,,,img,1.0,1.0,
86,537,5536,120,120,,,,,,,img,1.0,1.0,
87,325,5877,124,175,,,,,,,img,1.0,1.0,
88,0,127,774,473,,,,,,,a,,1.0,1.0
89,0,127,774,473,,,,,,,a,,1.0,1.0
