,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,270,38,270,129,,,,,,,img,1.0,
1,1,345,19,27,24,,,,,,,a,,1.0
2,1,391,19,44,24,,,,,,,a,,1.0
3,1,456,19,27,24,,,,,,,a,,1.0
4,1,502,19,26,24,,,,,,,a,,1.0
5,1,549,19,27,24,,,,,,,a,,1.0
6,1,595,19,26,24,,,,,,,a,,1.0
7,1,642,19,26,24,,,,,,,a,,1.0
8,1,688,19,26,24,,,,,,,a,,1.0
9,1,738,19,60,24,,,,,,,a,,1.0
10,1,243,505,84,14,,,,,,,a,,1.0
11,1,352,505,48,14,,,,,,,a,,1.0
12,1,425,505,68,14,,,,,,,a,,1.0
13,1,519,505,48,14,,,,,,,a,,1.0
14,1,213,529,84,14,,,,,,,a,,1.0
15,1,301,529,48,14,,,,,,,a,,1.0
16,1,488,529,165,14,,,,,,,a,,1.0
17,1,92,199,500,22,,,,,,1.0,input,,
18,1,624,192,100,36,,,,,,1.0,input,,
