,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,0,181,537,195,,,,,,,img,1.0,
1,1,69,-34,152,24,,,,,,,a,,1.0
2,1,620,-34,132,24,,,,,,,a,,1.0
3,1,0,51,170,16,,,,,,,a,,1.0
4,1,766,63,103,14,,,,,,,a,,1.0
5,1,809,389,150,28,,,,,,,a,,1.0
6,1,763,471,30,12,,,,,,,a,,1.0
7,1,799,471,56,12,,,,,,,a,,1.0
8,1,580,485,67,12,,,,,,,a,,1.0
9,1,580,609,86,15,,,,,,,a,,1.0
10,1,77,706,56,14,,,,,,,a,,1.0
11,1,143,706,36,14,,,,,,,a,,1.0
12,1,189,706,36,14,,,,,,,a,,1.0
13,1,235,706,95,14,,,,,,,a,,1.0
14,1,340,706,43,14,,,,,,,a,,1.0
15,1,393,706,44,14,,,,,,,a,,1.0
16,1,447,706,39,14,,,,,,,a,,1.0
17,1,496,706,96,14,,,,,,,a,,1.0
18,1,602,706,26,14,,,,,,,a,,1.0
19,1,638,706,25,14,,,,,,,a,,1.0
20,1,673,703,30,20,,,,,,,a,,1.0
21,1,0,742,43,14,,,,,,,a,,1.0
22,1,63,742,33,14,,,,,,,a,,1.0
23,1,116,742,59,14,,,,,,,a,,1.0
24,1,195,742,76,14,,,,,,,a,,1.0
25,1,291,742,67,14,,,,,,,a,,1.0
26,1,378,742,37,14,,,,,,,a,,1.0
27,1,435,742,40,14,,,,,,,a,,1.0
28,1,495,742,34,14,,,,,,,a,,1.0
29,1,549,742,87,14,,,,,,,a,,1.0
30,1,656,742,36,14,,,,,,,a,,1.0
31,1,712,742,38,14,,,,,,,a,,1.0
32,1,770,742,52,14,,,,,,,a,,1.0
33,1,842,742,65,14,,,,,,,a,,1.0
34,1,927,742,40,14,,,,,,,a,,1.0
35,1,0,761,53,14,,,,,,,a,,1.0
36,1,73,761,29,14,,,,,,,a,,1.0
37,1,122,761,63,14,,,,,,,a,,1.0
38,1,205,761,32,14,,,,,,,a,,1.0
39,1,257,761,52,14,,,,,,,a,,1.0
40,1,329,761,68,14,,,,,,,a,,1.0
41,1,417,761,61,14,,,,,,,a,,1.0
42,1,498,761,42,14,,,,,,,a,,1.0
43,1,560,761,40,14,,,,,,,a,,1.0
44,1,620,761,43,14,,,,,,,a,,1.0
45,1,683,759,72,19,,,,,,,a,,1.0
46,1,775,761,33,14,,,,,,,a,,1.0
47,1,828,761,88,14,,,,,,,a,,1.0
48,1,0,780,55,14,,,,,,,a,,1.0
49,1,75,780,25,14,,,,,,,a,,1.0
50,1,120,778,1,1,,,,,,,a,,1.0
51,1,140,778,1,1,,,,,,,a,,1.0
52,1,0,13,170,55,,,1.0,,,,h1,,
53,1,580,533,194,39,,1.0,,,,,button,,
54,1,602,34,150,23,,,,,,1.0,input,,
55,1,766,34,150,23,,,,,,1.0,input,,
56,1,937,37,36,18,,,,,,1.0,input,,
57,1,580,201,194,39,,,,,,1.0,input,,
58,1,785,201,194,39,,,,,,1.0,input,,
59,1,580,250,399,39,,,,,,1.0,input,,
60,1,580,299,399,39,,,,,,1.0,input,,
61,1,589,435,13,13,,,,,,1.0,input,,
62,1,691,435,13,13,,,,,,1.0,input,,
