,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,212,166,100,30,,,,,,,img,1.0,
1,1,328,166,100,30,,,,,,,img,1.0,
2,1,-16,34,240,130,,,,,,,img,1.0,
3,1,195,730,600,40,,,,,,,img,1.0,
4,1,4,790,238,238,,,,,,,img,1.0,
5,1,252,790,238,238,,,,,,,img,1.0,
6,1,500,790,238,238,,,,,,,img,1.0,
7,1,748,790,238,238,,,,,,,img,1.0,
8,1,4,1117,485,316,,,,,,,img,1.0,
9,1,501,1117,485,316,,,,,,,img,1.0,
10,1,88,8,66,16,,,,,,,a,,1.0
11,1,154,8,68,16,,,,,,,a,,1.0
12,1,569,0,74,32,,,,,,,a,,1.0
13,1,669,8,36,16,,,,,,,a,,1.0
14,1,715,0,62,32,,,,,,,a,,1.0
15,1,810,8,36,16,,,,,,,a,,1.0
16,1,866,8,36,16,,,,,,,a,,1.0
17,1,912,0,74,32,,,,,,,a,,1.0
18,1,296,117,42,17,,,,,,,a,,1.0
19,1,363,117,42,17,,,,,,,a,,1.0
20,1,430,117,42,17,,,,,,,a,,1.0
21,1,497,117,42,17,,,,,,,a,,1.0
22,1,564,117,42,17,,,,,,,a,,1.0
23,1,631,117,28,17,,,,,,,a,,1.0
24,1,296,138,28,17,,,,,,,a,,1.0
25,1,349,138,42,17,,,,,,,a,,1.0
26,1,416,138,28,17,,,,,,,a,,1.0
27,1,469,138,42,17,,,,,,,a,,1.0
28,1,536,138,42,17,,,,,,,a,,1.0
29,1,204,162,116,35,,,,,,,a,,1.0
30,1,320,162,116,35,,,,,,,a,,1.0
31,1,436,162,80,35,,,,,,,a,,1.0
32,1,516,162,64,35,,,,,,,a,,1.0
33,1,580,162,64,35,,,,,,,a,,1.0
34,1,644,162,64,35,,,,,,,a,,1.0
35,1,708,162,64,35,,,,,,,a,,1.0
36,1,772,162,64,35,,,,,,,a,,1.0
37,1,836,162,80,35,,,,,,,a,,1.0
38,1,204,198,80,35,,,,,,,a,,1.0
39,1,42,206,28,19,,,,,,,a,,1.0
40,1,80,206,28,19,,,,,,,a,,1.0
41,1,42,237,28,19,,,,,,,a,,1.0
42,1,80,237,56,19,,,,,,,a,,1.0
43,1,42,268,28,19,,,,,,,a,,1.0
44,1,80,268,28,19,,,,,,,a,,1.0
45,1,118,268,28,19,,,,,,,a,,1.0
46,1,42,300,28,19,,,,,,,a,,1.0
47,1,80,300,56,19,,,,,,,a,,1.0
48,1,42,331,28,19,,,,,,,a,,1.0
49,1,80,331,28,19,,,,,,,a,,1.0
50,1,118,331,56,19,,,,,,,a,,1.0
51,1,42,362,28,19,,,,,,,a,,1.0
52,1,80,362,28,19,,,,,,,a,,1.0
53,1,118,362,56,19,,,,,,,a,,1.0
54,1,42,393,56,19,,,,,,,a,,1.0
55,1,42,424,28,19,,,,,,,a,,1.0
56,1,80,424,28,19,,,,,,,a,,1.0
57,1,118,424,56,19,,,,,,,a,,1.0
58,1,42,456,56,19,,,,,,,a,,1.0
59,1,42,487,42,19,,,,,,,a,,1.0
60,1,94,487,56,19,,,,,,,a,,1.0
61,1,42,518,56,19,,,,,,,a,,1.0
62,1,42,549,28,19,,,,,,,a,,1.0
63,1,80,549,28,19,,,,,,,a,,1.0
64,1,119,549,28,19,,,,,,,a,,1.0
65,1,42,580,28,19,,,,,,,a,,1.0
66,1,80,580,28,19,,,,,,,a,,1.0
67,1,118,580,28,19,,,,,,,a,,1.0
68,1,42,611,56,19,,,,,,,a,,1.0
69,1,42,643,28,19,,,,,,,a,,1.0
70,1,80,643,28,19,,,,,,,a,,1.0
71,1,118,643,28,19,,,,,,,a,,1.0
72,1,42,674,56,19,,,,,,,a,,1.0
73,1,30,200,982,500,,,,,,,a,,1.0
74,1,0,200,990,500,,,,,,,a,,1.0
75,1,4,790,238,238,,,,,,,a,,1.0
76,1,252,790,238,238,,,,,,,a,,1.0
77,1,500,790,238,238,,,,,,,a,,1.0
78,1,748,790,238,238,,,,,,,a,,1.0
79,1,419,1062,56,54,,,,,,,a,,1.0
80,1,4,1117,485,316,,,,,,,a,,1.0
81,1,916,1062,56,54,,,,,,,a,,1.0
82,1,501,1117,485,316,,,,,,,a,,1.0
83,1,4,6899,982,43,,,,1.0,,,h2,,
84,1,1044,0,235,40,,,,1.0,,,h2,,
85,1,574,73,132,36,,1.0,,,,,button,,
86,1,298,73,276,36,,,,,,1.0,input,,
