,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,0,18,131,35,,,,,,,img,1.0,
1,1,131,0,350,80,,,,,,,img,1.0,
2,1,674,135,326,54,,,,,,,img,1.0,
3,1,0,519,158,89,,,,,,,img,1.0,
4,1,0,810,158,105,,,,,,,img,1.0,
5,1,337,478,178,40,,,,,,,img,1.0,
6,1,337,519,158,89,,,,,,,img,1.0,
7,1,337,810,158,89,,,,,,,img,1.0,
8,1,674,425,326,184,,,,,,,img,1.0,
9,1,674,809,158,89,,,,,,,img,1.0,
10,1,842,809,158,89,,,,,,,img,1.0,
11,1,0,1132,158,89,,,,,,,img,1.0,
12,1,168,1132,158,89,,,,,,,img,1.0,
13,1,336,1132,158,89,,,,,,,img,1.0,
14,1,504,1132,158,89,,,,,,,img,1.0,
15,1,672,1132,158,89,,,,,,,img,1.0,
16,1,840,1132,158,89,,,,,,,img,1.0,
17,1,0,1347,158,89,,,,,,,img,1.0,
18,1,0,1643,158,89,,,,,,,img,1.0,
19,1,0,1939,158,89,,,,,,,img,1.0,
20,1,695,1348,158,89,,,,,,,img,1.0,
21,1,695,1643,158,89,,,,,,,img,1.0,
22,1,695,1938,158,89,,,,,,,img,1.0,
23,1,0,2236,158,89,,,,,,,img,1.0,
24,1,674,2234,158,89,,,,,,,img,1.0,
25,1,0,2559,158,89,,,,,,,img,1.0,
26,1,674,2557,158,89,,,,,,,img,1.0,
27,1,0,2882,158,89,,,,,,,img,1.0,
28,1,674,2880,158,89,,,,,,,img,1.0,
29,1,0,3203,326,183,,,,,,,img,1.0,
30,1,339,3204,157,89,,,,,,,img,1.0,
31,1,507,3204,157,89,,,,,,,img,1.0,
32,1,675,3204,157,89,,,,,,,img,1.0,
33,1,843,3204,157,89,,,,,,,img,1.0,
34,1,0,3470,158,89,,,,,,,img,1.0,
35,1,337,3470,158,89,,,,,,,img,1.0,
36,1,674,3470,158,89,,,,,,,img,1.0,
37,1,0,3793,158,89,,,,,,,img,1.0,
38,1,337,3793,158,89,,,,,,,img,1.0,
39,1,674,3793,158,89,,,,,,,img,1.0,
40,1,0,4115,158,89,,,,,,,img,1.0,
41,1,168,4115,158,89,,,,,,,img,1.0,
42,1,336,4115,158,89,,,,,,,img,1.0,
43,1,504,4115,158,89,,,,,,,img,1.0,
