,p,bx,by,bw,bh,c_div,c_button,c_h1,c_h2,c_p,c_input,element,c_img,c_a
0,1,10,59,155,40,,,,,,,img,1.0,
1,1,928,56,40,40,,,,,,,img,1.0,
2,1,16,141,22,14,,,,,,,img,1.0,
3,1,-705,171,899,280,,,,,,,img,1.0,
4,1,190,171,900,280,,,,,,,img,1.0,
5,1,1088,171,896,280,,,,,,,img,1.0,
6,1,1982,171,900,280,,,,,,,img,1.0,
7,1,215,483,42,40,,,,,,,img,1.0,
8,1,267,507,331,12,,,,,,,img,1.0,
9,1,623,483,42,40,,,,,,,img,1.0,
10,1,675,507,198,12,,,,,,,img,1.0,
11,1,898,483,42,40,,,,,,,img,1.0,
12,1,16,575,190,26,,,,,,,img,1.0,
13,1,760,576,150,24,,,,,,,img,1.0,
14,1,937,576,150,24,,,,,,,img,1.0,
15,1,1114,576,150,24,,,,,,,img,1.0,
16,1,0,620,338,240,,,,,,,img,1.0,
17,1,170,804,80,40,,,,,,,img,1.0,
18,1,16,903,104,26,,,,,,,img,1.0,
19,1,16,995,101,101,,,,,,,img,1.0,
20,1,16,1097,101,100,,,,,,,img,1.0,
21,1,118,995,202,202,,,,,,,img,1.0,
22,1,330,995,101,101,,,,,,,img,1.0,
23,1,330,1097,101,100,,,,,,,img,1.0,
24,1,432,995,202,202,,,,,,,img,1.0,
25,1,644,995,101,101,,,,,,,img,1.0,
26,1,644,1097,101,100,,,,,,,img,1.0,
27,1,746,995,202,202,,,,,,,img,1.0,
28,1,958,995,101,101,,,,,,,img,1.0,
29,1,958,1097,101,100,,,,,,,img,1.0,
30,1,1060,995,202,202,,,,,,,img,1.0,
31,1,16,1319,237,237,,,,,,,img,1.0,
32,1,270,1319,237,237,,,,,,,img,1.0,
33,1,524,1319,237,237,,,,,,,img,1.0,
34,1,778,1319,237,237,,,,,,,img,1.0,
35,1,1032,1319,237,237,,,,,,,img,1.0,
36,1,16,1663,237,237,,,,,,,img,1.0,
37,1,270,1663,237,237,,,,,,,img,1.0,
38,1,524,1663,237,237,,,,,,,img,1.0,
39,1,778,1663,237,237,,,,,,,img,1.0,
40,1,1032,1663,237,237,,,,,,,img,1.0,
41,1,16,2007,237,237,,,,,,,img,1.0,
42,1,270,2007,237,237,,,,,,,img,1.0,
43,1,524,2007,237,237,,,,,,,img,1.0,
44,1,778,2007,237,237,,,,,,,img,1.0,
45,1,1032,2007,237,237,,,,,,,img,1.0,
46,1,16,2351,237,237,,,,,,,img,1.0,
47,1,270,2351,237,237,,,,,,,img,1.0,
48,1,524,2351,237,237,,,,,,,img,1.0,
49,1,778,2351,237,237,,,,,,,img,1.0,
50,1,1032,2351,237,237,,,,,,,img,1.0,
51,1,1055,3279,60,60,,,,,,,img,1.0,
52,1,210,3435,901,45,,,,,,,img,1.0,
53,1,85,0,60,35,,,,,,,a,,1.0
54,1,152,0,48,35,,,,,,,a,,1.0
55,1,219,0,60,35,,,,,,,a,,1.0
56,1,766,0,60,35,,,,,,,a,,1.0
57,1,845,0,48,35,,,,,,,a,,1.0
58,1,924,0,53,35,,,,,,,a,,1.0
59,1,1008,0,53,35,,,,,,,a,,1.0
60,1,1092,0,72,35,,,,,,,a,,1.0
61,1,1183,0,84,35,,,,,,,a,,1.0
62,1,270,100,66,16,,,,,,,a,,1.0
63,1,346,100,44,16,,,,,,,a,,1.0
64,1,400,100,55,16,,,,,,,a,,1.0
65,1,465,100,14,16,,,,,,,a,,1.0
66,1,489,100,72,16,,,,,,,a,,1.0
