,bx,by,bw,bh,element
0,22,20,135,79,img
1,362,80,488,650,img
2,-125,0,1024,576,img
3,1136,80,488,650,img
4,649,0,1024,576,img
5,1910,80,488,650,img
6,1423,0,1024,576,img
7,2684,80,488,650,img
8,2197,0,1024,576,img
9,3458,80,488,650,img
10,2971,0,1024,576,img
11,0,0,0,0,img
12,27,2137,152,89,img
13,0,0,0,0,input
14,0,0,0,0,input
15,0,0,0,0,input
16,0,0,0,0,input
17,0,0,0,0,input
18,0,0,0,0,input
19,0,0,0,0,input
20,0,0,0,0,input
21,42,470,690,46,input
22,28,1085,344,34,input
23,28,1327,718,34,input
24,28,1695,344,34,input
25,0,0,0,0,input
